a,b,c,d,SMILES
-1,0.817,0.392,5.011,CC(=O)ON
1000,0.694,0.401,4.733,CCNOCC(C)O
1004,0.688,0.469,5.316,CC(C#N)C(=O)ON
1008,0.617,0.326,4.778,C=C(C=NC)ONC
1010,0.593,0.46,4.316,C=C1CCNO1
1011,0.673,0.189,4.343,C#COC(=O)C=O
1012,0.687,0.333,4.501,C#CC(=O)CO
1013,0.771,0.38,3.905,O=CO
1014,0.641,0.204,4.885,CONOCC(=N)O
1015,0.664,0.288,5.475,N#CC(=O)CON=O
1016,0.507,0.296,4.715,C=CC#CON=N
1018,0.883,0.421,4.438,NCC(=O)O
1019,0.524,0.286,4.422,CC#CON=N
1020,0.757,0.388,4.801,CCCONO
1022,0.686,0.366,4.137,CC(=N)CON
1025,0.66,0.185,4.83,CC(=NO)ON
1028,0.698,0.347,4.309,C=NOCC
1029,0.662,0.35,4.829,C=C(CO)ON
1030,0.713,0.245,5.797,CC(O)=C(N)C(=O)ON
1031,0.627,0.238,4.74,CC#CCON=N
1033,0.677,0.463,4.607,Nc1c[nH]oc1=O
1035,0.832,0.489,4.488,N#CCCCO
1036,0.781,0.431,4.283,C=C(O)CO
1037,0.572,0.393,4.22,O=C1ON=CC1O
1038,0.763,0.398,5.698,CC(C)C(=O)ON=O
1039,0.795,0.453,4.847,CCC(=O)ON
1040,0.669,0.33,5.322,C=C(NC)C(=O)ON=O
1041,0.608,0.295,4.879,CC(N)C(N)ON
1043,0.607,0.452,5.172,C#Cn1nc(O)c(=O)o1
1046,0.709,0.273,4.726,CNOC(=O)C=O
1047,0.736,0.258,4.616,CC(=O)OC(=N)O
1048,0.64,0.368,4.447,NOCC=CO
1050,0.647,0.175,4.736,N=C(CO)OO
1053,0.863,0.475,4.25,NCCC(=O)O
1054,0.682,0.397,4.713,N#CC(O)CO
1055,0.616,0.399,4.955,O=C1CON(O)N1
1067,0.906,0.446,4.17,CC(=O)C(=O)O
1069,0.603,0.374,5.14,CC(C=O)ONO
1070,0.687,0.341,4.141,NOCC=O
1072,0.563,0.246,4.917,N#CC#CONN
1076,0.739,0.375,4.035,C#CCO
1077,0.884,0.365,4.213,CC(O)O
1078,0.604,0.205,4.511,NN=CC(=O)ONC=CO
1081,0.662,0.299,5.486,C=C=NOC(=O)NC
1082,0.687,0.399,4.49,C=C(CC)ON
1087,0.633,0.24,5.294,NC=CC(=O)ON(N)O
1093,0.846,0.514,4.078,CC(=O)CCO
1095,0.64,0.202,4.392,N=C(CNN)CON
1104,0.775,0.406,4.898,N#CCCCON
1114,0.779,0.488,4.227,CC(N)CCO
1115,0.717,0.392,4.389,CC=CCON
1119,0.361,0.363,4.452,OC1C#CNO1
1121,0.583,0.226,5.957,NCC(OO)ON=O
1123,0.682,0.288,4.264,C=C(C)C=NO
1126,0.636,0.394,5.382,C=NCC(=O)ONC
1128,0.636,0.278,4.293,O=NOCO
1129,0.529,0.219,4.465,N=C=NOC=O
1132,0.747,0.275,4.276,CC=NOC(C)=O
1133,0.555,0.359,4.371,OC1CCONN1
1138,0.847,0.321,4.281,CCCCOO
1147,0.625,0.495,4.553,OCC1CC=NO1
1149,0.763,0.414,5.332,C=C(C)C(=O)ONC
1151,0.757,0.474,4.49,C=C(NC)C(=O)O
1153,0.739,0.364,4.484,CC=NOCC
1154,0.628,0.208,4.74,NCONN
1158,0.647,0.482,4.539,NCc1n[nH]oc1=O
1163,0.654,0.238,4.488,C=CCON=N
1164,0.842,0.457,4.309,NCCCO
1166,0.807,0.444,4.042,CCCC=O
1167,0.68,0.343,4.722,CC(ON)=C(O)CO
1172,0.6,0.325,4.471,NOCC#CO
1183,0.707,0.304,4.923,NCCONO
1184,0.497,0.289,4.871,C=NOC(O)C=N
1186,0.773,0.355,3.949,CC=O
1190,0.627,0.239,5.1,CC(=N)ONO
1201,0.68,0.4,4.877,C=C(C)N(N)OC(=O)CO
1202,0.649,0.334,5.586,CONOC(=O)C(=N)CN
1203,0.73,0.269,4.9,C=CC(=O)ONN
1204,0.611,0.277,5.466,CN=C=CC(=O)ON
1205,0.617,0.435,4.517,C=CN(C)OC(=O)C=N
1206,0.63,0.296,5.188,C#CCN=CC(=O)ON
1207,0.671,0.414,4.881,CC(N)CONO
1208,0.666,0.336,6.163,CC(=N)C(=O)ONO
1209,0.635,0.184,4.457,C=CCON=NN
1210,0.62,0.407,4.594,CN1OCC(=O)O1
1211,0.569,0.475,4.558,N=Cc1n[nH]oc1=O
1212,0.762,0.318,4.65,CC(=O)ONN
1213,0.572,0.161,5.451,C#CC(=O)ON(N)C=N
1214,0.674,0.43,4.472,O=C1CCNO1
1215,0.529,0.152,6.271,CC(C=NN)(ON)OO
1216,0.704,0.505,4.282,C=CNOC(C)=O
1217,0.729,0.425,5.223,CC(=O)ONO
1218,0.608,0.457,4.396,O=c1cn[nH]o1
1219,0.651,0.32,5.058,N=CC(=O)ON
1220,0.496,0.392,4.422,OC1C=NNO1
1221,0.653,0.436,4.565,Cn1ncc(=O)o1
1222,0.653,0.51,4.333,CCn1ncc(=O)o1
1224,0.771,0.344,5.031,C=CC(=O)ONCCC
1225,0.707,0.302,4.313,C=C(ON)C(C)=O
1226,0.662,0.263,4.707,C#CNOC(=O)C(C)=CC
1227,0.593,0.296,4.822,C=NOC(=O)C=N
1228,0.59,0.212,5.627,N#CNOC(=O)C=N
1229,0.637,0.232,5.086,C#CNOC(=O)C=C
1230,0.533,0.21,5.952,CC(=C=CO)C(O)ON
1231,0.66,0.314,4.884,C=CC(=O)ON=N
1232,0.527,0.362,5.032,C=C1NNOC1O
1233,0.738,0.263,4.757,NCC(=O)C(=O)OO
1234,0.651,0.286,4.544,CNOC(=O)C=C=O
1235,0.633,0.301,4.461,N#CCON=N
1237,0.68,0.39,5.541,CCN=CC(=O)ON
1238,0.706,0.259,4.429,C=NOC(C)=O
1239,0.685,0.272,4.87,CNOC(=O)C=C(O)CN
1240,0.645,0.321,4.607,C=CONOCC
1242,0.557,0.227,4.937,N=CC(=N)ON=O
1243,0.767,0.447,4.447,CNOC(C)=O
1244,0.611,0.226,4.463,C#CCON=N
1247,0.562,0.257,5.016,C#CC(C)(N)ON
1248,0.587,0.276,5.276,CCC#CC(N)ON
1250,0.618,0.232,5.76,C=CC(O)(O)ON
1252,0.743,0.479,5.062,CCC(=O)ONO
1253,0.613,0.261,5.237,C=C=C(C)C(=O)ON=N
1255,0.633,0.24,5.321,N=C(O)N=CC(=O)ON
1256,0.683,0.207,5.514,N=C(O)C(=O)ON
1257,0.574,0.422,4.139,CN=C1C=NOC1
1258,0.522,0.457,4.055,NC1=C=NOCC1
1259,0.573,0.405,4.098,C1=NOCC1
1260,0.406,0.392,4.263,CC1=C=C=NO1
1264,0.701,0.394,4.471,CCONOC
1268,0.643,0.358,4.68,CCONON
1269,0.564,0.445,5.234,CC1=NONO1
1271,0.569,0.395,4.916,C#CC(C)ON(O)O
1273,0.657,0.291,4.885,CCONOO
1274,0.641,0.225,4.589,O=C=CC(=O)OOO
1276,0.613,0.304,5.112,CNOC(C)(N)O
1277,0.863,0.427,4.554,COC(=O)CO
1278,0.74,0.349,4.859,C=CC(=O)ON
1279,0.647,0.383,5.058,O=C1N=NOC1=O
1280,0.69,0.424,5.086,C=CNOC(=O)C=C
1281,0.651,0.485,5.027,Cc1n[nH]oc1=O
1282,0.651,0.311,5.363,CCONOC(=O)C=N
1283,0.773,0.35,4.461,CNOCCO
1284,0.664,0.203,5.217,C=C(C)C(=O)ONONN
1286,0.666,0.359,4.924,CCC(O)ON
1287,0.556,0.269,4.778,C#CC(O)ONC
1288,0.706,0.369,4.283,CNOCC#N
1289,0.639,0.268,4.554,NOCC=NO
1291,0.547,0.308,4.943,C=NOC(C)ON
