a,b,c,d,SMILES
-1,0.845,0.555,4.971,CCCC(N)C(=O)O
3000,0.883,0.576,4.371,N#CCCCCC(=O)O
3001,0.703,0.535,4.244,C=C1CC=C(C(=O)O)C1
3002,0.691,0.491,4.505,NC1C=C(O)CCC1
3005,0.751,0.441,4.254,O=C1CCC(O)CO1
3006,0.687,0.223,5.033,C=C(CC(N)(N)C(=O)OO)OC
3008,0.561,0.24,3.986,O=C1C#CCCO1
3009,0.523,0.361,4.885,N=C(CO)CC1COON1
3011,0.619,0.271,4.716,NC(O)=C(C=O)CC(N)C=O
3013,0.772,0.447,4.13,CC(N)CCC(=O)OCC=O
3014,0.777,0.583,4.26,C=C(C)C(=C)CC(=O)O
3015,0.667,0.531,4.159,O=C(O)C1CCC=N1
3017,0.797,0.491,4.126,CC1=C(O)CCC1
3018,0.835,0.589,4.784,CCCC(O)CC(=O)O
3019,0.836,0.57,4.442,O=C(O)CC1=CCCC1
3020,0.64,0.522,5.341,CC(=O)C(N)CC(N)CN=O
3023,0.883,0.388,4.42,CCCCCC=O
3025,0.605,0.592,5.398,CC1(N)CCCC1(N=O)C(=O)O
3026,0.57,0.431,4.776,CC(O)C(=CN)C(N)C=O
3029,0.726,0.5,4.911,CC(N)(CC=O)C(=O)O
3030,0.626,0.506,4.822,CC(C=N)CC(=N)C(=O)O
3033,0.697,0.439,4.674,CC1CC(N)C(=O)O1
3034,0.76,0.544,4.3,CC=C(O)CCCO
3036,0.739,0.515,4.172,CCC(=N)C(C)=O
3039,0.9,0.496,4.67,NCCCCCO
3041,0.61,0.206,5.545,NN=CC#CCC(=O)ON
3042,0.674,0.378,5.019,CCC1CC(N)(N)C(=O)O1
3043,0.692,0.331,5.888,CCCC(C)=C(NC=N)C(=O)O
3044,0.632,0.251,5.277,CCCC(NC)(OO)C(O)O
3046,0.751,0.615,4.858,CCC(C#N)CC(=O)O
3047,0.638,0.344,4.882,C=NCC(=C)C=C(N)C(=O)O
3048,0.753,0.517,4.673,O=C1C=C(C(=O)O)NCC1
3049,0.628,0.301,5.492,NC(CCNO)C(N=O)C(=O)O
3051,0.856,0.425,4.316,CCCC=CC(=O)OC
3053,0.596,0.267,4.649,C#CC#CC(=C)C=O
3055,0.639,0.372,4.421,N=CCC#CC(=O)O
3056,0.765,0.48,4.563,C=C(CC(C)=CC)C(=O)O
3058,0.555,0.433,4.617,NCC(=O)OC1=C=C=CC1
3059,0.762,0.429,4.75,C#CCC(=O)CC(=O)O
3060,0.579,0.393,4.952,CNN=NC(CC(C)ON)C(=O)O
3064,0.776,0.509,4.349,CCC(N)=CC(=O)O
3065,0.625,0.426,4.586,CC(N)(C=O)CC(N)CO
3066,0.859,0.588,4.66,CCCC(=O)CCO
3067,0.697,0.351,4.407,CCC#CCC=O
3069,0.677,0.403,4.311,NCC1OC(O)CC1O
3071,0.795,0.571,4.887,C=C(C)CCC(N)C(=O)O
3073,0.737,0.528,3.993,O=C(O)C1=CC(O)CC1
3074,0.789,0.494,4.415,CCCC(C)=N
3075,0.68,0.337,4.488,O=C=CCC(O)=CC(=O)O
3076,0.791,0.424,5.822,CCCC(=O)C(=O)ON
3077,0.695,0.469,4.457,CC(=O)C(=CO)C(C)C(=O)O
3079,0.872,0.457,5.215,CCCCCC(=O)ON
3080,0.701,0.496,4.888,CCCC(O)C(=N)C(=O)O
3081,0.686,0.343,4.279,CC1C=CCC(=O)O1
3083,0.693,0.448,4.7,CCCC(N)(NCOC)C(=O)OC
3085,0.609,0.51,4.185,O=C(O)C1=C=CCC1
3086,0.814,0.611,4.245,CC(=O)C(C)CC(=O)O
3087,0.796,0.431,4.476,CC(C)CC(C(=O)O)=C(O)O
3088,0.848,0.501,4.252,CCC(=O)C(=O)O
3089,0.705,0.517,4.885,CC=CC(=N)C(=O)O
3090,0.804,0.372,4.528,C=C(CCCC)C(=O)OCO
3091,0.641,0.373,5.013,N=CCC(O)C(N)C(=O)O
3093,0.648,0.579,4.716,C#CC(O)C(C)C(C)C(=O)O
3095,0.644,0.33,5.012,C=NC(CCC)C(=O)ONN
3096,0.473,0.445,4.371,CC1C#CC=C1O
3099,0.839,0.56,4.831,CCCC(N)C(=O)OC
3101,0.699,0.275,5.226,NCC(=O)CC(=NOO)C(=O)O
3102,0.805,0.586,4.284,C=C(CCC)CC(=O)O
3103,0.673,0.199,4.695,CC(N)OC(=O)C(C)NN
3104,0.884,0.443,4.4,C=CCCCC(=O)O
3108,0.793,0.342,4.653,CCC(=O)CC(=O)OO
3109,0.922,0.539,4.376,O=C(O)CCCCCO
3110,0.777,0.656,4.489,CCCC(C)C(C)C(=O)O
3111,0.763,0.311,4.233,C=C(C)CCOC=O
3112,0.785,0.457,4.456,CCC(N)C(=O)CC(=O)OC
3116,0.76,0.231,4.5,C=CCOC(=O)C(=N)N
3119,0.807,0.561,4.856,CCCCC(=N)C(=O)O
3120,0.706,0.528,4.402,C=CC(=N)CC(=O)O
3121,0.823,0.434,4.364,N=CCCCCC(=O)O
3122,0.938,0.534,4.52,CCCCCCO
3123,0.669,0.37,4.444,C#CC1(C)CCCC(=O)O1
3127,0.7,0.452,4.351,NC1CCCC(=O)O1
3128,0.817,0.495,4.194,O=C(O)CC(O)CCCO
3130,0.536,0.197,5.53,C=C1CNC(C=O)(NN)C1
3132,0.639,0.236,5.274,C#CC(=O)C(COO)NC
3133,0.845,0.595,4.435,CC(=O)C=CCCC(=O)O
3134,0.748,0.579,5.545,CC(CCC(=O)O)N=O
3135,0.573,0.416,4.487,CC1OC(=O)C(N=N)CC1N
3136,0.884,0.573,4.671,CCCCC(=O)C(=O)O
3138,0.759,0.516,4.968,C#CCCC(N)C(=O)O
3142,0.714,0.588,5.553,CCCC(C)(CC(=O)O)ON
3143,0.76,0.59,4.38,CCC(N)=CCC(=O)O
3144,0.687,0.475,5.667,CCCC(CO)(ON)C(=O)O
3148,0.796,0.441,4.281,CC1CCCC(=O)O1
3149,0.709,0.449,4.874,CC(=O)C(C)CC(=O)ON=O
3155,0.678,0.154,4.46,CC#CC(=O)OC=O
3164,0.82,0.563,4.429,CCC=CCC(=O)O
3167,0.78,0.561,5.002,CCCC(=N)CC(=O)O
3168,0.628,0.438,4.663,CC#CC(C)C(=N)C(=O)O
3177,0.785,0.587,4.508,C=C(C)CC(C)C(=O)O
3187,0.737,0.418,5.361,CC=CCC(=O)ON
3188,0.574,0.597,5.327,COC1CC(O)C(C(=O)O)N=N1
3189,0.749,0.51,4.61,C=CCC(O)C(=O)O
3193,0.698,0.412,4.272,CC1C=CC(=O)O1
3195,0.891,0.453,4.312,C=CCCCCC(=O)O
3196,0.687,0.484,4.695,CCC(=N)C(=N)C(=O)O
3199,0.783,0.511,4.325,CCCC#CC(=O)O
3201,0.743,0.496,4.193,CC(C(=O)O)C(O)CCN
3202,0.766,0.587,4.245,CCC(O)C(C)C(=O)O
3203,0.712,0.467,4.734,CC(C(=O)CN)C(N)C(=O)O
3204,0.787,0.507,4.542,CC(=N)CCCO
3206,0.685,0.375,5.153,CC(N)CC(N)=C(N)O
3207,0.837,0.56,4.39,COC(=O)CCC(C)N
3208,0.647,0.245,4.712,C=C(C#CC=N)C(=O)OC
3210,0.635,0.396,6.095,CC(=CC(N)C(=O)O)ON(C)O
3212,0.634,0.343,5.196,CC(O)CC(C)(NO)C(=O)OO
3213,0.542,0.563,4.351,COC1(C(=O)O)C#CC(C)=N1
3214,0.787,0.471,4.57,C=C(C#N)C(=O)CCC(=O)O
3215,0.709,0.562,5.058,CCCC(N=N)C(=O)O
3216,0.64,0.491,4.732,C=C=C(C)CC(N=O)C(=O)O
3217,0.719,0.559,4.414,CC(C=N)CCC(=O)O
3218,0.641,0.321,5.349,C=C(O)C(=N)CC(N=O)C(=O)O
3219,0.557,0.489,4.295,O=C(O)C1CC=C=CN1
3220,0.79,0.467,5.312,CCCC(NCN)C(=O)O
3221,0.641,0.33,4.896,C=NCNC(CCC)COO
3222,0.799,0.566,4.807,C=CCNC(CCC)C(=O)O
3223,0.676,0.243,5.678,C=CCCC(NO)C(O)O
3224,0.795,0.585,4.535,C=CCCC(C)C(=O)O
3225,0.79,0.539,4.943,C=CCCC(N)C(=O)O
3226,0.744,0.355,4.927,C=C(C)CC(NO)C(=O)OC
3227,0.792,0.561,4.3,CCC(=N)CCC(=O)O
3228,0.519,0.315,5.331,C#CC1CC(=C=C)OC(=O)C1N
3229,0.827,0.642,4.455,CC(=O)C(C)CCC(=O)O
3231,0.706,0.561,4.451,CCC(=N)C(C)C(=O)O
3232,0.872,0.425,4.34,CCCCCC(O)O
3234,0.637,0.231,5.683,CC(C(O)C#N)C(NN)C(=O)O
3235,0.662,0.224,5.679,CCC(N)C(N)(N)C(=O)OO
3236,0.757,0.569,4.652,CCC(C=O)CC(=O)O
3237,0.684,0.573,4.865,CCC1CNN=C1C(=O)O
3238,0.847,0.574,4.691,CCC(C)CCCC(=O)OC
3239,0.937,0.544,4.524,CCCCCCCO
3242,0.847,0.577,4.837,CCCCCCC(O)C(=O)O
3243,0.848,0.645,4.724,CCCC(C)CCCC(=O)O
3244,0.856,0.631,4.552,CCCCC(C)C(=O)O
3245,0.87,0.586,4.223,C=C(C)CCCC(=O)O
3247,0.477,0.46,4.779,CC1C2=NC(C(=O)ON2)C1N
3248,0.869,0.469,4.882,C#CCCCCCCC(=O)O
3249,0.774,0.404,4.789,CCCCC(C)(NN)C(=O)O
3252,0.841,0.566,4.546,CCC(C)CCCCO
3253,0.752,0.571,4.616,CC(N)C=CCCC(=O)O
3254,0.844,0.633,4.612,CC(C)(C)CCC(=O)C(=O)O
3255,0.686,0.432,4.677,CNC(C(=O)O)C(O)=C(C)CO
3259,0.61,0.421,4.552,C=C(C)CC1N=COC1=O
3260,0.796,0.576,5.15,CCCC=C(NC)C(=O)O
3262,0.696,0.53,4.514,CCC(=C(C)O)C(O)C(=O)O
3263,0.624,0.295,4.911,C=C(C)CC(N=N)C(=O)OOC
3266,0.829,0.615,5.128,CCCCC(N)CCC(=O)O
3267,0.8,0.479,4.323,C=C(C=CC(=O)O)CCC
3268,0.667,0.567,4.856,C=NC(CC(O)CC)C(=O)O
3271,0.779,0.582,4.616,C=C(C)C(=N)CCC(=O)O
3272,0.689,0.372,5.053,C=CCCC(N=N)C(=O)OC
3273,0.798,0.475,4.478,C=CCCC(N)C(=O)OCC
3274,0.736,0.463,5.113,CC(=N)CC(N)C(=O)O
3275,0.789,0.362,5.125,CCCC(NN)C(=O)O
3279,0.854,0.6,4.836,C=C(CCCC)CCC(=O)O
3280,0.822,0.51,5.246,COC(=O)C(N)CCCN
3281,0.534,0.52,4.15,O=C(O)C1CC=C=N1
3283,0.751,0.468,4.587,C=COC(=O)C(N)CCC
3286,0.743,0.536,4.953,N#CCCC(=N)C(=O)O
3288,0.849,0.611,4.567,CC=C(C)CCCC(=O)O
3291,0.646,0.509,4.734,C=CC(=N)C(C)C(N)C(=O)O
3295,0.944,0.578,4.88,CCCCCCCCC(=O)O
3298,0.785,0.527,4.613,CCCC1CCC(=O)O1
3299,0.786,0.667,4.977,CCCCC(C)C(C)C(=O)O
3300,0.753,0.449,4.616,N=CCC=CCCC(=O)O
3302,0.769,0.587,4.285,CC(O)C(C)CC(=O)O
3303,0.787,0.622,4.452,CCCC(C)(O)CC(=O)O
3305,0.73,0.537,4.498,COC(=O)C1(C)CCC(=O)N1
3306,0.884,0.472,4.605,CCCCCC=CC(=O)O
3307,0.676,0.371,4.65,CC(N)C(N)C(N)C(=O)O
3308,0.581,0.522,4.374,O=C(O)C1=CCC#CC1
3310,0.849,0.642,4.618,CCC(C)CCCC(=O)O
3313,0.825,0.553,4.308,O=C(O)C1=CCCC1
3314,0.671,0.54,4.644,C=C1C=NC(COC)=C1
3315,0.736,0.427,4.426,CC=NC(C)(C)C(=O)OC
3316,0.772,0.476,4.092,OCC1CCCN1
3317,0.862,0.601,4.686,CCCCCC(C)C(=O)O
3318,0.515,0.398,4.38,NC12CC(=NOC1=O)C(=O)N2
3320,0.891,0.472,4.677,CCCCCC(=O)CC(=O)O
3323,0.923,0.55,4.407,O=C(O)CCCCCCO
3326,0.743,0.503,4.826,CCC(O)C(N)CC(=O)O
3327,0.749,0.635,4.812,CC=C(CC(C)CC)C(=O)O
3328,0.652,0.25,4.888,CC#COC(=O)C#N
3329,0.809,0.607,4.734,CC1CCCCC1C(=O)O
3330,0.762,0.441,4.714,C#CCCC(N)C(=O)OC
3331,0.816,0.587,4.943,CCCC(N)CC(=O)O
3333,0.719,0.616,4.861,C=C=CCC(C)CCC(=O)O
3334,0.727,0.455,5.559,CC(N)(CCCO)C(=O)ON
3335,0.558,0.356,4.668,CC(C=N)(CCN)C(N=N)C(=O)O
3337,0.754,0.461,4.592,CC(=C=N)C(=O)CCC(=O)O
3338,0.857,0.603,4.821,CCC(C)CCCCC(=O)O
3341,0.83,0.632,4.302,CC(C)C(C)CC(=O)O
3342,0.745,0.52,5.586,CCC(CC(N)C(=O)O)NC
3344,0.793,0.41,4.285,CCC(C)CCCC=O
3345,0.774,0.638,4.7,CC(CC(=O)O)C(C)C(=O)O
3347,0.919,0.537,4.366,NCCCCCC(=O)O
3350,0.946,0.581,4.56,CCCCCCCC(=O)O
3352,0.727,0.576,4.572,CC=CCC(C)(O)C(=O)O
3355,0.61,0.565,4.663,CC1(O)CC=NC(C(=O)O)C1
3356,0.788,0.445,4.825,O=C(OO)C1=CCCCC1
3357,0.683,0.549,4.359,C#CC(O)C(C)CC(=O)O
3362,0.815,0.605,4.512,CCCC#CCCC(=O)O
3364,0.869,0.472,4.594,CCC=CCCCC(=O)O
3366,0.822,0.548,4.642,CN1CCCC1C(=O)O
