a,b,c,d,SMILES
-1,0,0,0,CC
0,0.927,0.398,4.017,CC(C)=O
1,0.638,0.248,4.957,CCC(O)ONN
2,0.76,0.425,4.008,C=CCN
3,0.842,0.487,3.965,CCC(C)O
4,0.823,0.487,4.661,N#CCCCN
6,0.75,0.41,4.436,CCN=O
7,0.554,0.361,4.626,CONN=N
8,0.597,0.344,4.983,CNC(C#N)ON
9,0.779,0.374,4.076,CON
10,0.762,0.411,4.804,CCNCCN=O
11,0.723,0.341,4.699,CCONN
12,0.822,0.436,4.24,CC(O)CO
14,0.622,0.268,5.243,CNOC(=N)C#N
15,0.683,0.453,4.575,C=C(C#N)CN
16,0.793,0.315,4.186,CCNN
17,0.819,0.403,4.016,CCC=O
18,0.6,0.343,4.426,N=CCON
19,0.774,0.451,4.154,O=CCCO
22,0.493,0.318,4.354,NC=C=C=C=O
23,0.891,0.407,3.994,CCO
24,0.66,0.27,4.224,C#CCOO
25,0.598,0.212,4.631,C#CC(=C)ONN
27,0.59,0.434,4.228,OC1=CCOO1
28,0.774,0.312,3.972,O=NO
29,0.636,0.363,4.568,CCN=NO
30,0.895,0.432,3.957,CCOC
31,0.673,0.356,4.809,CCON(N)O
33,0.713,0.368,4.257,C=C(O)OCN
34,0.603,0.396,3.975,CC=C=N
36,0.722,0.156,4.605,CC(=N)NN
39,0.847,0.484,4.226,COCCN
40,0.55,0.364,4.612,C=CC(O)C=N
41,0.746,0.408,4.4,NCCON
42,0.82,0.514,4.526,CCC(=O)CO
43,0.873,0.505,4.3,CCNCC
44,0.657,0.344,3.82,C=C
46,0.516,0.366,3.762,N=N
47,0.928,0.491,4.157,CCC(=O)O
52,0.788,0.352,4.29,CCC(=N)O
53,0.759,0.466,4.292,N#CCCN
54,0.662,0.223,4.368,CCONC#N
55,0.85,0.526,4.565,N#CCCCCN
56,0.692,0.306,4.156,C=C(O)OOC
57,0.659,0.306,4.678,CCONN=O
58,0.907,0.401,4.44,CC(N)=O
59,0.657,0.169,4.476,C=C(C=O)OOC
60,0.637,0.399,4.422,CCC(O)OC#N
61,0.505,0.419,4.31,C1=NNOC1
63,0.58,0.389,4.513,CCN=NON
64,0.916,0.385,3.839,CCC
65,0.603,0.278,4.584,N#CN=CCC=O
66,0.792,0.479,4.336,CCCON
67,0.739,0.348,4.349,CNOCCN
68,0.872,0.466,4.367,CCCCC#N
69,0.661,0.322,4.758,CCONNO
70,0.664,0.424,4.149,CN=CCO
71,0.521,0.442,4.447,N=c1cnoo1
72,0.83,0.436,4.266,C=CCCC
73,0.689,0.495,4.679,CCC(N)C#N
74,0.748,0.363,4.127,C=C(O)C(C)=N
75,0.726,0.482,4.244,COC(O)C(C)=O
77,0.817,0.392,5.011,CC(=O)ON
80,0.893,0.464,4.048,CCCO
81,0.805,0.396,4.551,CNOCCOC
83,0.745,0.313,4.013,C=CC=O
85,0.714,0.415,4.874,CCC(=O)ON=N
86,0.627,0.35,4.168,CNN=CC#N
87,0.63,0.254,4.343,CNNOC(C)=N
90,0.905,0.483,4.192,CC(C)CO
91,0.619,0.377,3.94,C#CO
92,0.686,0.304,4.698,CNNOCCN
94,0.734,0.517,4.62,CCCC(O)C#N
95,0.695,0.335,4.576,C=CC(=O)C#N
96,0.709,0.318,5.049,CC(O)ON
97,0.761,0.378,5.052,NCC(=O)ON
98,0.772,0.354,4.027,CC(=O)CC=O
100,0.731,0.453,4.744,CCONO
103,0.775,0.413,4.075,CNC(C)O
107,0.738,0.36,4.461,C=C(C)ON
108,0.61,0.413,4.487,C=NC(=CO)CC
109,0.696,0.421,4.383,N#CCON
111,0.613,0.367,4.204,N=CCC=O
112,0.631,0.34,5.09,CCC(O)ONO
113,0.674,0.255,4.526,N#CCONN
115,0.706,0.294,4.212,CC(N)CNN
116,0.615,0.213,4.766,C=CC(=N)OO
119,0.675,0.396,4.63,CCC(C)ONN
123,0.667,0.407,4.781,C=C(N)CNNC
124,0.676,0.22,4.631,NOCCN=C=O
125,0.581,0.152,4.972,C#CC(N)=NOO
126,0.731,0.334,4.436,CCCNNO
128,0.64,0.278,4.657,CONNN
129,0.762,0.472,4.375,CCONC
130,0.6,0.283,4.263,C=NOC(C)=N
131,0.725,0.516,4.332,COC(C)CC#N
132,0.781,0.455,4.514,CCNC(=O)C#N
134,0.77,0.373,4.312,C#CCCCC#N
136,0.747,0.242,4.477,CCCOOCO
138,0.552,0.387,4.526,C1CONN1
139,0.677,0.472,4.901,CCC(N)(O)OC
144,0.806,0.454,4.481,CC(C)ON
145,0.793,0.429,4.29,CCON
146,0.712,0.347,4.281,C=CC(=N)O
147,0.616,0.276,5.137,NCC(O)ON
148,0.829,0.4,4.499,C=CCCCN
149,0.806,0.373,3.821,CC
156,0.594,0.236,5.084,CC(O)ON(N)O
158,0.612,0.309,4.317,C=C(C)ON=N
162,0.669,0.274,4.754,CCC(=N)ON
170,0.61,0.264,4.695,C=CONN
171,0.821,0.488,4.105,CC(=O)C(C)O
174,0.721,0.275,5.702,NNCC(=O)ON
177,0.669,0.385,4.722,CCON=N
178,0.698,0.222,4.713,C=CCON=O
180,0.537,0.285,4.392,C=NNOC(C)N
184,0.691,0.221,4.536,NCCONN
186,0.817,0.402,3.958,CC(C)=N
188,0.717,0.352,3.973,NC=O
189,0.679,0.388,4.513,CCNNO
192,0.745,0.431,4.274,CNCC#N
193,0.76,0.419,4.423,N=CC(=O)O
194,0.724,0.24,4.314,N#CC(=N)O
195,0.602,0.299,5.5,C=C(N)C(O)ON
196,0.584,0.18,4.529,N=CCONN
198,0.7,0.229,4.473,CCCOOC#N
199,0.655,0.407,4.78,C=C(N)CON=O
200,0.718,0.39,4.69,CCNNOCC
201,0.657,0.277,3.99,C#CC=O
202,0.712,0.43,3.977,CC=CN
203,0.727,0.413,4.004,CC=CO
204,0.795,0.259,4.354,N=C(N)O
206,0.691,0.447,4.217,C=C(C)C=N
208,0.613,0.416,4.602,N#CC(N)C=O
209,0.857,0.406,4.27,NCCO
210,0.734,0.415,4.621,CC(N)=CN
211,0.65,0.366,4.019,C=C=CC
212,0.704,0.435,3.952,CCC=N
213,0.669,0.446,4.643,C=CC(O)CN
215,0.77,0.422,4.253,CC(=N)CO
216,0.652,0.42,4.418,CC#CC(C)N
217,0.736,0.377,4.633,NCC(N)CO
218,0.664,0.263,4.659,CCC#CC(=N)O
219,0.762,0.496,4.165,CCOC(C)O
220,0.692,0.363,4.332,CC=NC
221,0.672,0.391,4.523,CC=C(O)CON
223,0.706,0.398,4.453,CNCCC=C=O
224,0.72,0.19,4.695,CC(=N)OO
225,0.676,0.397,4.232,N=CCO
228,0.651,0.466,4.079,CC(O)C=CN
230,0.681,0.323,4.579,COC(O)(O)C#N
231,0.56,0.341,4.666,CC(=N)C(O)N=N
232,0.596,0.154,4.693,N#CC(O)NN
233,0.563,0.439,4.589,CN=C=CCN
234,0.678,0.334,4.139,CC#CCC=O
235,0.508,0.392,4.77,CN=C=CCN=N
236,0.56,0.411,4.261,N=C=CCN
238,0.673,0.443,4.338,N=CCCN
239,0.607,0.44,4.135,C=C=CCN
240,0.814,0.512,4.62,CCC(=O)CN
241,0.798,0.379,4.325,CCCCN=O
242,0.759,0.445,4.133,C=COCC
243,0.717,0.43,4.174,C#CCCN
245,0.651,0.337,4.24,CC=CNN
246,0.655,0.359,3.923,C#CC#N
247,0.751,0.274,4.382,NCCNN
249,0.748,0.266,4.138,N#CCCNN
250,0.683,0.236,4.367,N#CCNN
252,0.87,0.406,3.883,CCN
253,0.692,0.278,4.363,N#CC(N)O
254,0.729,0.431,4.614,CC(N)C#N
255,0.664,0.37,3.728,C#N
256,0.57,0.302,3.945,C#CC=N
257,0.677,0.29,4.509,CCC(O)OO
258,0.721,0.265,4.251,C=CCNN
259,0.798,0.353,4.27,CCCNN
260,0.73,0.397,4.114,CC#CCN
261,0.741,0.22,4.011,C=CCCNN
262,0.671,0.307,4.678,C=CCC(=C)NN
263,0.678,0.392,4.435,C#CC#CCN
264,0.731,0.447,4.54,CC#CCNC
265,0.696,0.317,5.072,CC(N)ON
267,0.6,0.299,4.261,C#CON
268,0.74,0.496,4.196,CCC(O)OC
269,0.714,0.37,4.348,C=CCON
270,0.838,0.342,3.942,OCO
273,0.701,0.424,4.564,COC(N)CO
274,0.788,0.444,3.992,COC(C)O
276,0.795,0.426,4.019,C=CCO
278,0.651,0.335,4.146,C#CC=COC
280,0.69,0.356,4.356,CC#CCON
281,0.799,0.42,4.413,COC(C)(O)O
283,0.665,0.334,4.338,C#CCON
284,0.678,0.32,4.434,CC(O)=C=N
289,0.811,0.385,3.739,CO
290,0.707,0.269,4.5,COOCC(N)N
292,0.777,0.354,4.197,CCOOC
294,0.785,0.291,4.233,COOCCO
295,0.807,0.354,4.262,CCOO
298,0.799,0.391,4.241,CCCOO
301,0.762,0.41,4.241,NOCCO
302,0.848,0.329,4.314,O=CC(=O)O
303,0.843,0.419,4.176,CC(C)C=O
304,0.808,0.429,3.973,CC=C(C)O
305,0.646,0.288,4.513,N=CCCON
307,0.7,0.367,5.048,CCONNC
308,0.738,0.398,4.076,CC#CCO
309,0.628,0.302,4.564,C=NNOCC
310,0.707,0.479,4.667,CC(N)CCON
311,0.67,0.446,4.396,C=CC(N)CO
312,0.651,0.451,4.395,C#CC(C)CO
313,0.709,0.456,5.188,COCC(C)(N)O
314,0.685,0.41,4.184,N#CCC=O
315,0.618,0.287,3.884,C#CN
316,0.888,0.463,4.019,CCCN
317,0.842,0.407,4.396,CCCCON
318,0.632,0.392,4.605,C=CC(C)ON
319,0.602,0.459,4.266,CC1CCON1
320,0.787,0.377,4.852,NCC(O)CN
321,0.74,0.448,3.982,C=CC(C)O
322,0.691,0.345,4.618,C=CC(C)(N)O
323,0.744,0.486,4.123,C=C(CO)OC
325,0.639,0.41,4.31,C=CC(=C)C=CO
326,0.639,0.373,4.209,C=CC#CC
327,0.592,0.341,4.791,C#CC(=C)C(N)O
328,0.722,0.471,4.156,CC=CC(C)O
329,0.687,0.476,4.281,C=C(CO)C(C)N
330,0.69,0.464,4.395,CCC(N)=CO
