a,b,c,d,SMILES
-1,0.814,0.662,5.363,CCCCC(CCC(=O)O)N(C)C
7000,0.75,0.646,5.636,CC(O)CCC(CCC(=O)O)N(C)C
7003,0.483,0.632,4.993,C=C1C2=CN(C)C1(CCC=O)N=CC2
7004,0.601,0.728,5.115,CC1C2CCN(C)C(C2)C1CC(=O)O
7006,0.452,0.633,5.842,CN1CN=C2CC1C1=CC2=C=C1C(=O)O
7007,0.622,0.746,5.764,C=CC1C(N(C)C)CC(CC)C1(C)C(=O)O
7008,0.638,0.44,7.271,CN(C)C(CCC(C)(C)N)CC(NO)C(=O)ON
7009,0.673,0.374,5.938,CC(C(CCCN)C(=O)C(=O)O)N(C)CN
7010,0.774,0.725,4.802,CC1CCC(CCC(=O)O)N(C)C1
7011,0.682,0.317,7.178,COC(=O)CCC(C=CCC(O)(O)O)N(C)C
7012,0.743,0.48,5.868,CCCC=CC(CCC(=O)OC)N(C)C
7013,0.664,0.767,5.594,CN1C=C(C#N)CCC1(C)CCC(=O)O
7014,0.695,0.368,4.657,CN(C#N)C(CCC=O)CCC(=O)O
7016,0.641,0.366,6.425,CCC=C(O)C(C(N)CC(O)O)N(C)C
7017,0.719,0.729,4.609,CN(C)C1CC(=O)CCC1CC(=O)O
7019,0.557,0.514,5.082,C#CC1C=C(N(C)C#C)CC1C(=O)O
7020,0.649,0.66,5.176,CN(C)C1(CCC(=O)O)OC(CO)CC1=O
7021,0.672,0.705,6.45,CC(=O)CC1=C(C(=O)O)C(N)C(N(C)C)C1
7022,0.621,0.711,5.976,CN(C)C1C(=N)CC(C#N)C1CC(=O)O
7023,0.665,0.544,5.191,CCCCC(C#CC(=O)ON)N(C)CC
7024,0.777,0.736,5.571,CCN(C)C(CCC(=O)O)C1CCCC1
7025,0.722,0.613,5.766,CCC(=N)CC(CCC(=O)O)N(C)C
7026,0.559,0.529,5.318,CC1CC2C(O)(O)CCC2(N(C)C)C1O
7027,0.764,0.61,5.933,CCCCC(CC(C)C(=O)OC)N(C)C
7028,0.604,0.578,5.979,CCC1CC(N)(N(C)CO)CC1C(=O)O
7029,0.726,0.592,5.828,CCCCC(C(O)C(=O)C(=O)O)N(C)C
7030,0.494,0.614,6.899,CCC1(O)CC2C(C)C1(C(=O)O)C(O)N2C
7031,0.642,0.606,5.842,CC(N)CCC1CC(C(=O)O)NCN1C
7032,0.709,0.659,5.073,CN(C)CCC1OC(=O)CCC1CN
7033,0.556,0.7,5.84,CN1CC2=C(CC(=O)O)C1CC2CC#N
7034,0.768,0.591,4.828,CNCC(C)C(C)CCCCC(=O)O
7037,0.565,0.573,4.996,CN(C)C1CC2CCC1=C2C=O
7039,0.717,0.611,5.707,CCN(C)C(CCC(C)=O)C(=N)CC(=O)O
7040,0.7,0.499,6.124,CCCC=CC(C(=N)CC(=O)O)N(C)C
7041,0.712,0.661,5.823,CCCC=CC(C)(CCC(=O)O)N(C)C
7043,0.636,0.73,5.365,CN1CCC2CCC(CC(=O)O)C1C2
7044,0.67,0.725,5.125,CN(C)C1(CCC(=O)O)OCC=CC1=O
7045,0.749,0.641,5.394,CCCCC(C=CC(=O)O)N(C)C
7046,0.711,0.725,4.993,CCCC1(C(=O)O)CC(C)N(C)C1
7047,0.591,0.634,5.682,CN(C)C1(O)CC(CO)C(CC#N)C1
7048,0.67,0.679,5.344,CN(C)C1CC(C(=O)O)C2=C1CCC2
7050,0.742,0.401,6.166,CN(C)C(O)(CCCCCN)CCC(=O)O
7051,0.688,0.624,6.127,CCCC=CC(CC(O)C(=O)O)N(C)C
7052,0.708,0.672,5.939,CCCC(N)=CC(CCC(=O)O)N(C)C
7053,0.693,0.55,6.322,CC(=N)CC(=N)CC(CCC(=O)O)N(C)C
7055,0.64,0.677,5.975,C=C1CC(N)C(CCC(=O)O)(N(C)C)C1
7057,0.55,0.65,5.244,CCC1CC2C(=O)C1(C(=O)O)CN2C
7058,0.524,0.605,6.602,CC1C(=O)C(=O)C2C(CC(=O)O)N1CN2C
7060,0.696,0.694,5.459,CC1=CN(C)CC(C)C(C(=O)O)=C1C
7061,0.707,0.585,4.601,CN(C)C(C=CCN)CCC(=O)O
7062,0.668,0.723,5.538,CC1C(CN)CC(N(C)C)CC1C(=O)O
7063,0.555,0.43,6.057,CCCC1C(=N)C(N(C)C#N)CC1C=O
7064,0.729,0.751,5.02,CCN1C=C(C)CCC1CCC(=O)O
7066,0.663,0.696,5.262,CCC1C=CC(N(C)C)C1CC(=O)O
7067,0.731,0.7,5.083,CCN(C)C1CCC(C)=C1CC(=O)O
7068,0.668,0.733,5.003,CC1=NC(CCC(=O)O)(N(C)C)C=C1
7069,0.713,0.723,4.477,CC1CCC(N(C)C)C1CC(=O)O
7070,0.73,0.36,5.87,C=CCCCC(CCC(=O)O)N(C)C=O
7072,0.635,0.675,4.756,CN1C=C(C(=O)O)CC1CCC=C=O
7075,0.677,0.536,5.623,CN1CC(C)(O)CCC1CCC(=O)OO
7076,0.728,0.495,6.34,CCCCCC(C(=CO)CC(=O)O)N(C)C
7077,0.693,0.635,5.332,CCCC(C#CC(=O)O)N(C)C
7079,0.719,0.723,5.042,CCCCC1CC(C(=O)O)=CN1C
7080,0.741,0.664,5.134,CN1CCCCC1C(N)CC(=O)O
7081,0.783,0.689,5.237,CCCC=C(CCC(=O)O)N(C)C
7082,0.635,0.264,6.08,C=CC(N)CC(=CC(=O)C(=O)O)N(C)C=O
7083,0.672,0.442,4.751,CC=CC(CCC=O)N(C)C
7087,0.514,0.502,6.153,CCC1(O)CC2(CC(C(=O)O)CN2C)NN1
7088,0.744,0.613,5.668,CCCC(=N)C(CCC(=O)O)N(C)C
7089,0.665,0.76,5.294,CCC1C(=O)CN(C)CC1(CC)C(=O)O
7090,0.671,0.773,5.57,CC1CCC(CCC(=O)O)(N(C)C)OC1
7091,0.698,0.698,5.617,CCCC=CC1CC(C(=O)O)CN1C
7092,0.719,0.723,4.547,CCC1CC(N(C)C)CC1C(=O)O
7093,0.666,0.617,4.963,C#CC1CCC(NC)CC1C(=O)O
7096,0.633,0.64,6.443,C=C1C(C(=O)O)=C(C)CC(=N)C1(O)N(C)CC
7097,0.713,0.778,5.6,CCC1CCC(CC(C)C(=O)O)N(C)C1
7098,0.74,0.662,5.212,CCCC(CCC(C)N)N(C)C
7100,0.646,0.537,5.048,CC1C=CC(CCC(=O)O)N(C=O)C1
7101,0.755,0.497,5.833,C#CCCCC(CCC(=O)O)N(C)C
7102,0.407,0.596,5.137,O=CC1CC2(O)CC1C1=CN2CC1
7103,0.673,0.235,5.693,CC=CCC(=C(C)C(=O)C(=O)O)N(C)C=N
7106,0.695,0.657,5.602,C=C(C=CC(CCC(=O)O)N(C)C)CC
7109,0.614,0.521,7.068,C=CN(C)C(CC(=C)C(C)=O)CC(=C)C(=O)ON
7111,0.698,0.345,5.181,CN(C)C(CCC(=O)O)CC(=N)CC(O)O
7112,0.726,0.701,5.027,CCC(C(=O)O)C1=C(C)CN(C)CC1
7114,0.649,0.698,5.764,CC1CC=CC1(CCC(=O)O)N(C)C
7116,0.646,0.688,4.71,CCC1CC(=CCC(=O)ON)N(C)C1
7118,0.602,0.679,5.337,CN1CCC2CC=C(CC(=O)O)C1C2
7120,0.676,0.501,4.787,CN(C)C(C=CC=CO)CCC(=O)O
