a,b,c,d,SMILES
-1,0.834,0.508,5.397,CCCC(=O)ON
2001,0.699,0.568,4.605,O=Cc1[nH]oc(=O)c1C=O
2002,0.772,0.386,5.172,CCC(=O)C(=O)ON
2003,0.699,0.314,5.512,CC(N)(C(=O)O)C(=O)ON
2004,0.648,0.393,5.273,CCOC(C)(O)ON
2007,0.697,0.229,4.577,C=NOC(=O)C(=C)C
2008,0.801,0.395,4.829,NC(=O)CCNO
2009,0.619,0.46,4.272,C=C1CCON1
2010,0.58,0.229,5.281,CC(O)(C#CN)C(=O)ON=O
2011,0.629,0.277,5.398,N#CCC(=O)C(O)(O)ON=N
2014,0.682,0.357,5.551,NCC(O)C(=O)ON
2015,0.66,0.349,4.756,C#CC(=O)ONC
2016,0.663,0.521,5.289,CCC(O)C(=O)ONOC
2018,0.554,0.252,5.081,N=C=C(N)C(CC(=O)ON)N=N
2019,0.739,0.465,5.38,CC(O)CC(=O)ON
2020,0.642,0.274,5.394,CCC(O)C(O)(O)ON
2022,0.749,0.399,5.375,C#CCCC(=O)ON
2023,0.689,0.537,5.223,CC(CC(=O)O)N=N
2025,0.706,0.379,5.372,CC#CCC(=O)ON
2026,0.676,0.464,4.727,CC1OC(=O)C(N)C1C
2027,0.651,0.263,5.022,N=CCCC(=O)ON=C=O
2028,0.741,0.393,5.374,C=CCC(=O)ON
2029,0.645,0.338,4.711,C=C(CN)CC(=O)ON=N
2031,0.663,0.546,4.708,C#CC(CC)C(N)C(=O)O
2034,0.535,0.445,5.372,CC1(C(=N)C=O)N=NOC1=O
2037,0.624,0.322,5.483,CNC(C(=O)ON)C(C=O)CN
2038,0.664,0.349,4.941,N#CC(O)CCC(=O)ON=O
2039,0.616,0.454,4.593,CC1CNOC1=O
2040,0.67,0.49,4.653,CC1CCC(=O)ON1
2041,0.683,0.4,5.321,C#CCC(O)CC(=O)ON
2042,0.767,0.41,5.913,C=C(CC(=O)ON)C(=O)O
2044,0.608,0.478,4.435,C=C1CC(=O)ONC1C
2045,0.6,0.403,5.304,C=C=CC(C)(O)C(=O)ON
2047,0.676,0.489,5.409,C=CCC(C(=C)C)C(=O)ON
2048,0.627,0.378,5.543,N=C=CCC(=O)ON
2049,0.6,0.444,5.159,CC1NOC(=O)C1=N
2050,0.586,0.3,4.544,CNOC(=O)C(=C=N)CC=N
2051,0.57,0.439,4.155,N#CC1=NNOC1
2052,0.66,0.25,4.366,CC#CCON=CCN
2054,0.778,0.464,5.206,CCCCC(=O)ON=N
2057,0.758,0.534,5.093,CCC(C)C(=O)ON
2058,0.547,0.347,4.452,N=C=C(C=N)CON
2061,0.621,0.579,4.625,CCCC1ONOC1=O
2062,0.695,0.329,4.613,CCC(O)(O)CON
2063,0.822,0.473,5.546,NCCCC(=O)ON
2065,0.587,0.264,6.006,C=C(C=C=C=N)CC(=O)ON
2066,0.738,0.362,4.845,N#CCCCC(=O)ON=N
2067,0.663,0.279,5.395,CC(C)=C(ON)C(=O)ON=O
2068,0.738,0.412,4.365,CC(N)(O)CC(=O)O
2069,0.593,0.323,4.217,C=NOC(=O)CC=N
2070,0.458,0.41,4.479,O=C1CC#CNO1
2072,0.686,0.484,4.706,CC1CC(=O)NOC1=O
2073,0.693,0.422,4.776,N=C(CN=O)CC(=O)O
2076,0.715,0.465,5.288,CCC(O)C(=O)ON
2077,0.711,0.399,4.604,N=NOC(=O)CCO
2078,0.699,0.424,5.108,CCC(=N)CC(=O)ON
2080,0.772,0.448,5.007,CCC(=O)CC(=O)ONC
2084,0.583,0.259,5.411,CC#CC(O)ON
2085,0.71,0.469,4.242,N=CCC(=O)O
2086,0.511,0.294,6.165,N=C=CC(N)(C=N)C(=O)ON
2087,0.608,0.317,4.577,C=C1C=NOC1=O
2090,0.672,0.32,4.409,CC=C(C=O)CON
2091,0.609,0.318,4.468,CNNOC(C)O
2092,0.775,0.522,5.909,CCCC(=O)ONO
2093,0.722,0.41,5.477,CC(O)C(=O)ON
2094,0.816,0.416,4.786,CNOC(=O)CCCCN
2096,0.632,0.387,5.314,O=C=CCC(=O)ONO
2100,0.624,0.319,5.292,C#CC(O)C(=O)ON
2104,0.66,0.446,5.777,C=C1CC(=O)C(=O)ON1
2109,0.735,0.314,4.701,CC1=NOC(=O)C1=O
2110,0.802,0.552,5.267,CCCCC(=O)ONO
2113,0.732,0.418,5.282,C=C(C)CC(=O)ON
2114,0.594,0.469,4.695,CC1CCC(O)ON1
2116,0.806,0.468,5.091,CC(C)(C)C(=O)ON
2117,0.584,0.24,5.354,C=CC(N)C(C=O)C(=O)ONC
2118,0.692,0.269,4.641,C=NOC(=O)CCCC=N
2119,0.594,0.234,5.56,C=CC(NN)C(=O)ON=O
2120,0.771,0.484,4.622,CC(C)CCC(=O)ON=N
2122,0.723,0.26,4.676,C=C(C(=O)CC)C(=O)ON
2123,0.54,0.145,5.331,C=C=C(C)C(=N)C(O)ONN
2124,0.618,0.389,5.752,CN=CCC(O)C(=O)ON
2127,0.672,0.593,5.197,CCCC1CC(=O)ON1
2130,0.502,0.174,5.648,N=CC#CC(O)ON
2133,0.677,0.417,5.187,C#CC=CCC(=O)ON
2135,0.731,0.462,5.505,CC(N)CC(=O)ON
2137,0.738,0.418,5.083,C=C(CC)C(=O)ON
2138,0.599,0.366,5.035,N=C=C1CC(=O)ON=C1O
2140,0.803,0.432,5.444,N#CCCCC(=O)ON
2141,0.561,0.246,5.318,N=C=C(CC=CN)C(=O)ON=N
2142,0.717,0.429,5.424,CCCC=C(O)ON
2144,0.639,0.527,4.419,N#CC(=N)c1c[nH]oc1=O
2145,0.796,0.386,5.366,CC(=O)CC(=O)ON
2148,0.692,0.388,5.265,CCC(=N)C(=O)ON
2154,0.688,0.35,5.334,CCC#CC(=O)ON
2157,0.654,0.256,5.314,C=CCC(C=O)C(=O)ON
2158,0.757,0.496,4.97,CC(CCO)C(N)C(=O)O
2162,0.726,0.353,5.304,CCC(=COC)C(=O)ON
2164,0.674,0.296,5.547,CC(CC(=N)O)C(=O)ON
2166,0.536,0.272,4.732,C=C=NOC(=O)C(C)N=N
2168,0.626,0.413,5.44,N=C1CCN(N)OC1=O
2170,0.79,0.372,4.458,CC(C)C(=O)C=O
2172,0.677,0.283,5.998,O=CCC(=O)ONO
2174,0.699,0.377,5.939,N#CCC(=O)ON=O
2176,0.546,0.151,5.346,C#CCC(OO)ON=C=O
2177,0.624,0.26,5.452,CC(O)(CC=O)NO
2180,0.68,0.41,4.673,CC1=NOC(=O)C1
2182,0.691,0.33,5.557,CC(C=N)=C(O)CCC(=O)ON
2183,0.681,0.483,5.077,Cc1cn(O)oc1=O
2189,0.648,0.353,5.295,CC(CO)C(=N)C(=O)ON
2193,0.72,0.423,5.444,C=CCC(=O)ONC
2195,0.625,0.188,4.498,C=NOC(=O)C(C=O)CC
2200,0.739,0.462,5.356,CCC(N)C(=O)ON
2201,0.585,0.502,4.969,CCC1(N)CC(=O)ON1
2202,0.686,0.347,5.04,NOC(=O)C(CO)C(N)C(=O)O
2203,0.603,0.225,5.438,CC(CCON=N)C(N)O
2204,0.673,0.458,5.162,C#CC(CCC)C(=O)ON
2205,0.768,0.605,5.09,CCCC(CC)C(=O)ON
2206,0.7,0.335,4.766,CC(C(=O)C(=O)O)C(N)O
2207,0.678,0.341,4.987,C=CC(C(=O)ON)=C(C)CO
2208,0.655,0.41,4.544,O=C1CCC=NO1
2210,0.669,0.207,5.433,NNC(N)CCC(=O)ON
2211,0.726,0.415,5.528,CCCCC(O)ON
2212,0.729,0.45,4.311,CN1CCCC(=O)O1
2213,0.606,0.223,4.591,NC(C=NO)CC=O
2215,0.665,0.421,5.504,C=CCC(C)(N)C(=O)ON
2216,0.612,0.431,5.715,CC1C(=O)ONC1(O)C(=O)O
2217,0.66,0.493,5.312,C=CC(C)C(CC)C(=O)ON
2219,0.621,0.521,5.054,O=C(O)CC1CONO1
2220,0.708,0.41,5.268,C#CCCC(=O)ONO
2221,0.601,0.433,4.684,CC1(O)CC(=O)ON1
2222,0.698,0.35,6.235,NC(CCO)C(=O)ONO
2223,0.676,0.541,5.051,C=CNOC(=O)C(N)CC
2224,0.697,0.438,5.6,CCC(N)C(=O)ONO
2225,0.638,0.335,4.53,C=NOC(O)CCC
2226,0.736,0.303,5.342,CCCC(=O)ONC(=N)CO
2228,0.732,0.337,4.805,CCCC(=O)ONC#N
2229,0.784,0.326,4.65,C=NOC(=O)CCCC
2231,0.755,0.312,4.414,C=NOC(=O)CCC
2233,0.653,0.485,4.301,CC1CCNOC1=O
2234,0.69,0.353,5.384,C#CCC(=O)ON
2235,0.529,0.396,6.002,CC(N)C1(N)ONOC1=O
2236,0.638,0.349,4.452,C=NOC(=O)C(C)C(C)O
2238,0.723,0.512,5.44,NC=CCCC(=O)ON
2241,0.736,0.425,4.173,NOC(=O)CCC=CO
2242,0.68,0.533,4.952,CC(CN)C(C)C(=O)ON
2243,0.774,0.5,5.551,N#CCCC(=O)ON
2244,0.695,0.494,5.39,CC(O)C(C)C(=O)ON
2246,0.536,0.225,5.565,C#CC(N)C(O)ON
2247,0.776,0.563,5.755,CCCCC(NC)C(=O)ON
2248,0.603,0.418,4.82,CC1NOC(=O)C1O
2249,0.614,0.417,4.813,NC1CC(O)=NOC1=O
2251,0.591,0.421,4.434,NC1CC=NOC1=O
2252,0.692,0.435,4.671,NC1=NOC(=O)CC1
2254,0.736,0.456,4.73,O=C1CCC(=O)ON1
2255,0.752,0.642,4.786,CCCc1c[nH]oc1=O
2263,0.53,0.423,5.319,N=C(CN)C1(N)N=NOC1=O
2264,0.664,0.383,5.465,C=C(C)C(N)C(=O)ON
2265,0.688,0.42,5.954,CC(N)CC(N)C(=O)ON
2266,0.751,0.397,5.148,CC(=O)CC(=O)ONO
2267,0.643,0.453,4.439,CC1=NOC(=O)CC1N
2269,0.734,0.341,5.299,C=C(C)CC(=O)C(=O)ON
2270,0.85,0.512,4.3,O=CCCC(=O)O
2272,0.661,0.303,4.218,CC#CC(O)O
2273,0.75,0.421,4.182,C=C(C=O)CC(=O)O
2279,0.784,0.526,4.392,CC(CN)CCO
2283,0.621,0.512,4.348,C=C1CC(=O)ONC1=C
2284,0.852,0.495,4.054,NOC(=O)CCC(=O)O
2285,0.802,0.457,5.42,O=C(O)CCC(=O)ONO
2287,0.648,0.357,5.321,C=CC(CCO)C(=O)ON=O
2288,0.692,0.398,4.078,O=C1CC=CO1
2291,0.844,0.631,4.4,CCCC(C)CC(=O)O
2292,0.783,0.587,4.562,CCC(C)C(O)C(=O)O
2294,0.719,0.575,4.337,C#CC(CC)CC(=O)O
2295,0.564,0.555,4.357,O=C(O)CC1C#CCC1
2296,0.688,0.271,5.023,CCC(C)C(=O)ON=CN
