a,b,c,d,SMILES
-1,0.859,0.587,4.97,CCCCC(N)C(=O)O
4000,0.695,0.454,4.469,O=C1CC2CC(=O)OC2C1
4002,0.726,0.477,4.817,CCC(=O)C(N)C(O)C(=O)O
4003,0.687,0.419,4.626,C#CCCC=C(N)CO
4004,0.687,0.371,5.213,CC(N)(O)C(=O)CC(O)C(=O)O
4006,0.763,0.638,4.88,CCCC(N)CC(C)C(=O)OC
4007,0.652,0.391,4.541,C=C1N=C(C)C(=N)OC1=O
4008,0.669,0.332,5.295,CCC(=N)C(N)CCC(O)O
4011,0.645,0.507,4.606,O=C(O)C1C=CC(CO)O1
4013,0.76,0.485,5.382,CCCCC(N)(O)C(=O)O
4014,0.638,0.283,5.607,C=C(N=NO)C(=N)CCC(N)C(=O)O
4015,0.743,0.381,4.926,N=CCCCC(N)C(=O)O
4016,0.744,0.522,5.7,CCC(=N)CCCC(N)C(=O)O
4019,0.826,0.606,4.881,CCCCC(N)CC(=O)O
4020,0.603,0.431,4.367,C=CC(N)C(C)OC=O
4022,0.731,0.472,4.728,CCC(=O)C(O)CCC(O)O
4023,0.65,0.398,4.585,CC(=N)C(=N)C(N)C(=O)O
4025,0.812,0.446,4.253,CCCCC#CC(=O)O
4026,0.721,0.571,4.745,C=C(CCC)C(N)C(=O)O
4027,0.68,0.465,4.86,C=C(CC=CC=N)CC(=O)O
4028,0.823,0.606,4.592,CCC(N)CCCC(=O)O
4029,0.723,0.477,4.191,CCC1=CCC(=O)O1
4030,0.794,0.5,4.575,CCC1CCCC(=O)O1
4031,0.718,0.393,4.706,CC(O)(O)CC(N)CC(=O)O
4032,0.811,0.344,4.691,C=C=CCCCCC(=O)OC
4033,0.572,0.312,5.014,N=CC#CC(N)C(=O)O
4034,0.683,0.408,5.263,C=CCC(O)CC(=N)CC(=O)O
4036,0.647,0.547,5.023,C=NC(CC(=O)C(C)O)C(=O)O
4041,0.644,0.34,4.514,C=CC(N)C(=O)C(N)C(=O)O
4042,0.725,0.54,4.808,NC1=NC(C(=O)O)CCC1
4043,0.771,0.466,4.847,CCCCC(N)C(O)O
4045,0.726,0.505,4.986,CC#CCC(N)C(=O)O
4046,0.801,0.5,4.711,C=C(C)CCC(N)C(=O)OCC
4048,0.737,0.526,4.517,CC1CNC(C(=O)O)C1
