a,b,c,d,SMILES
-1,0.824,0.615,5.793,CCCCC(CCC(=O)O)NC
6000,0.815,0.489,5.108,CCNC(CCCCO)CCC(=O)O
6001,0.687,0.369,5.333,C#CNC(CCC(=O)O)CC(=C)CC
6002,0.734,0.654,4.714,CNC1CCC(C)C(C(=O)O)C1
6003,0.672,0.44,5.089,CNC(CCCO)C(=CC=N)CC(=O)O
6004,0.748,0.663,5.352,CNC(CCC(=O)O)CC(C)C(C)C
6005,0.6,0.468,6.009,CC1(O)CCOC(CCC(=O)O)(NC#N)C1
6008,0.702,0.63,6.615,CCN(O)C(CCC(=O)O)CC(C)C(C)C
6009,0.832,0.563,5.81,CCCCCCC(CCC(=O)O)NC
6010,0.652,0.694,5.641,CCCCC1OC(=O)CC(C)(N)C1NCC
6011,0.561,0.687,4.876,O=C(O)CCC1CC2=CN1CC2
6012,0.736,0.521,5.828,CCCCC(O)(CCC(=O)O)NC
6013,0.663,0.623,5.263,CCC1(O)CC(CC(=O)O)C(NC)C1
6016,0.712,0.507,5.143,CNC(CCCC#N)CC(O)C(=O)O
6017,0.7,0.364,5.458,CCC(CC(CCC(=O)O)NC)C(=N)O
6018,0.687,0.589,5.62,CNC(CC(C)C(C)C)C(CO)CC(=O)O
6019,0.766,0.589,5.934,C=C(CC(C)=O)C(CCC(=O)O)NCCC
6020,0.508,0.616,5.217,CC1=CC2(CCC(=O)O)CC1(C)C(=N)N2
6021,0.673,0.593,4.76,CNC1(CCC(=O)O)CCC=C1N
6022,0.618,0.519,5.989,CNC1CC(C(N)=CN)CC1CC(=O)O
6023,0.585,0.526,5.106,C=C1C(N)=CC2NC=C(C(=O)O)C12
6024,0.706,0.577,4.728,CCC(C=O)CC(N)CCC(=O)O
6026,0.731,0.518,5.363,CCC(C)CC(CCC(=O)O)NCO
6027,0.754,0.671,5.348,CC1CCC(CCC(=O)O)NC1
6030,0.661,0.51,5.962,C=C(CCC)C1CCC(O)(O)N1C
6031,0.7,0.672,5.998,CNC(CCC(=O)O)CC(C#N)C(C)C
6032,0.759,0.654,6.126,CCC(C)CC(CCC(=O)O)NC(C)C
6033,0.828,0.611,4.965,CCCCC(CCC(=O)O)NCC
6034,0.564,0.57,4.778,CNC1(CCC(C)=N)CCC(O)O1
6035,0.596,0.556,4.9,CCCC(N)C1(NC)OC(=O)CC1=N
6036,0.733,0.546,5.834,CCC(N)CC(CCC(=O)O)NC
6037,0.687,0.574,6.049,CCCC(N)(CC(=O)O)C(CC)NC
6038,0.549,0.679,5.072,CCC(C)C1C#CNC(CCC(=O)O)C1
6039,0.711,0.685,5.489,CNC(CCC(=O)O)C(C)C(C)C(C)C
6040,0.68,0.545,5.198,CNC(CCC=O)CC(CN)C(C)=O
6041,0.737,0.341,5.353,C=CCCCC(CCC=O)NC
6042,0.55,0.662,5.905,CCC1CC2(N)C(CC(=O)ON2C)C1=N
6043,0.578,0.343,5.6,C#CCC(C)CC(O)(C=CC(=O)O)NC=C
6044,0.594,0.617,4.839,CC(C=N)C1CCNC(=CCC(=O)O)C1
6046,0.65,0.428,5.733,CCC(C)CC(C)(CCC(=O)O)NC=N
6047,0.596,0.671,5.296,CC(C#N)C(C)CC1CC(C(=O)O)=C(O)N1
6048,0.669,0.673,5.486,CCCC1C(=O)CC(CO)C1NC
6049,0.647,0.765,5.654,CC(C)C1(C)CN(C)C(N)(CCC(=O)O)C1
6050,0.78,0.579,5.996,CCCCC(CC(=O)C(=O)O)NC
6051,0.727,0.606,5.212,CNC(CCCC#N)CC(C)C(=O)O
6052,0.787,0.448,5.857,C=CCCCC(CCC(=O)O)NC
6053,0.811,0.639,4.955,CNC(CCC(=O)O)CC(C)C
6054,0.658,0.473,7.707,CCC(CC)C(CN)C(CC(O)C(=O)O)NC
6055,0.812,0.639,4.877,CNC(CCC(=O)O)CCC(C)C
6058,0.676,0.555,5.635,CCC(C)CC(C(O)CC(=O)O)N(C)O
6059,0.649,0.48,5.374,C=C(ON)C1CCC(NC)C(CC(=O)O)C1
6061,0.699,0.384,5.803,C=C(CC(=O)O)C(CC(C)C)N(N)CC
6063,0.706,0.484,5.322,C=CN(N)C(=CCC(=O)O)CCCC
6065,0.742,0.543,5.605,CCNC(CCC(=O)O)CC(CC)CO
6067,0.604,0.61,5.099,CCC(=O)C1NC=NC1CCO
6068,0.764,0.639,5.859,CCC(C)CC(CCC(=O)O)NC
6070,0.734,0.644,4.865,CNC(C=C(C)C(C)C)CCC(=O)O
6072,0.772,0.483,6.107,CCNC(CCC(=O)OO)CCC(C)C
6073,0.624,0.564,5.866,CNC(O)(CCC(=O)O)CC(C)C(C)C#N
6075,0.77,0.688,4.687,CC(CCCN(C)C)C(C)C(=O)O
6077,0.669,0.701,4.942,CCC(C)CC1(NC)CCC(=O)OC1
6080,0.689,0.426,5.769,C=C(CC)CC(O)(CCC(=O)O)NC
6082,0.54,0.644,5.601,CC12CCC(CC1C(=O)O)N2CN
6083,0.725,0.516,5.328,CCNC(O)(CCC(C)=O)CCC(=O)O
6084,0.753,0.653,4.505,CNC1CCCC(C)=C1CC(=O)O
6085,0.599,0.613,5.774,C#CC(C)CC(C#CC(=O)O)NC
6086,0.758,0.394,4.424,CC(CCCC=N)NCCC(=O)O
6087,0.58,0.571,5.264,C=CNC1(C=C(C)CC)CCC(=O)OO1
6088,0.757,0.623,5.121,CCCC=C(CCC(=O)O)N(C)O
6089,0.716,0.665,5.492,CNC(C=CC(=O)O)CC(C)(C)C(C)C
6090,0.597,0.705,5.702,C=NC1CC(C(=O)O)C(C)(C(C)C)C1
6091,0.69,0.453,6.345,C=C(C)CCC(NC(C)=O)C(N)C(=C)C(=O)O
6092,0.662,0.584,4.832,CC(=CN)C(CCN)C(C)C(=O)O
6094,0.711,0.608,5.661,C=CC(CC(CCC(=O)O)NC)C(C)C
6095,0.679,0.697,4.82,CNC1CC(C)C(C)C1CC(=O)O
6096,0.549,0.611,5.033,CNC1C2CC(=O)OC1C(C)C2C
6097,0.526,0.541,5.394,C=C(CC(=O)O)C1CC(=C=N)C(C)=C=N1
6098,0.733,0.543,5.489,CCCC(CO)CC(CCC(=O)O)NC
6099,0.665,0.726,5.376,CCNC1CC(C(=O)O)C(C)(CC)C1
6100,0.699,0.609,5.336,CNC1(CCC(=O)O)CCC(CO)C1
6102,0.533,0.644,4.748,CCC1CC2CC1(C(=O)O)CN2
6103,0.752,0.546,4.976,CCCCC(NC)C(N)CC(=O)O
6105,0.645,0.567,6.551,C=CC(CC(CC(C)(O)C(=O)O)NC)C(C)C
6106,0.709,0.677,5.84,C=C1CCCCC1(CCC(=O)O)NC
6107,0.696,0.59,5.586,CC1CCC(C(O)CC(=O)O)NC1
6108,0.643,0.706,6.132,CNC(CCC(=O)O)C1C=CC(C)(C)C1C
6110,0.679,0.526,4.773,CCC=CC(NC)C(O)CC(=O)O
6111,0.65,0.724,5.102,CC(C)C(C)CC1CC(C(=O)O)=CN1
6115,0.592,0.666,4.921,C=NC1(CCCO)CC(C)CC1C
6117,0.672,0.444,5.804,C=C(CC(CC(=N)C(=O)O)NC)C(C)C
6118,0.69,0.667,5.803,CC1CCC(C(O)CC(=O)O)N1C
6121,0.638,0.75,6.183,CNC1C(C)C(C)C(=O)OC1C(C)C(C)C
6123,0.595,0.587,6.348,CCC1(C)CNC(CC(CO)C(=O)ON)C1
6125,0.723,0.552,5.861,CC(C)C(C)CC(CCC(=O)O)NO
6127,0.547,0.698,5.997,CNC1(CCC(=O)O)C#CC(C(C)C)C1C
6128,0.655,0.631,4.995,CCC1CC(CCC(=O)O)NC=C1N
6130,0.713,0.727,5.429,CNC1CC(C(=O)O)CC(C(C)C)C1
6131,0.816,0.672,5.359,CNC1(CCC(=O)O)CCCC1
6132,0.782,0.64,5.731,CCCCC(=CCC(=O)O)NC
6133,0.603,0.361,5.951,C=C(C(C)CC=N)C(N)CC(N)C(=O)O
6136,0.671,0.446,6.219,CNC(CC(C)C(C)C)C(=O)C(=N)C(=O)O
6137,0.687,0.452,5.189,CNC(CCC(=O)O)CC(CO)C(C)N
6139,0.574,0.271,5.697,CC1C(C(=O)OO)CC(NC#N)CC1(C)O
6140,0.727,0.638,5.527,C=C(C(CCC(=O)O)NC)C(C)C(C)C
6141,0.697,0.148,5.237,CCCCC(=N)NC=C(C=O)C(=O)O
6143,0.635,0.536,6.317,CC1CC(NC#N)CC(C(=O)O)C1(C)C
6144,0.646,0.564,6.008,CC1C(CO)C(=O)C(CCC(=O)O)N1CO
6145,0.642,0.683,4.98,NC1C2CCN(CC2)C1CCC(=O)O
6146,0.755,0.546,6.046,CCCCC(CC(N)C(=O)O)NC
6147,0.658,0.642,5.071,CNC1CCC(=O)OC1C(N)C(C)C
6148,0.638,0.543,5.494,CNC(CC(C)C=N)CC(C)C(=O)O
6149,0.68,0.563,5.255,CCC(CC(N)CN)C(C)C(=O)O
6151,0.686,0.641,5.377,C=NC(CCC(=O)O)CC(C)C(C)C
6152,0.706,0.484,4.881,C#CNC(C)(CCCC)CCC(=O)O
6153,0.706,0.605,4.868,CCCC1CCC(=O)ON1C
6154,0.661,0.698,5.638,CC(C)C(C)CC1CCC(=O)ON1C
6155,0.679,0.5,5.847,C#CNC(CCC(=O)O)CC(C)C(C)C
6156,0.723,0.522,5.164,CCCC(=N)CC(N)CC(=O)O
6159,0.686,0.701,4.954,CNC1CC(=O)C(C)CC1CC(=O)O
6162,0.624,0.581,5.813,CCC(CO)C1C(N(C)C)CCC1(O)O
6163,0.707,0.685,5.801,CNC(CC(C)C(C)C)C(C)CC(=O)O
6165,0.514,0.733,5.643,CC1N(C)C2(CCC(=O)O)CCC1(C)N2
6168,0.741,0.534,6.761,CCCCC(CO)CC(CCC(=O)O)NC
6169,0.705,0.654,4.719,CNC1CC(=O)CC(C)=C1CC(=O)O
6170,0.482,0.594,5.223,C#CC1CC2=CC(C(=O)O)C1N2C
6171,0.703,0.666,4.555,CCC1=C(C(=O)O)CC(NC)C1
6172,0.604,0.458,5.726,C=CNC(CC(C)C(C)CO)C(=N)CC(=O)O
6173,0.695,0.729,5.55,CC1CC(CCC(=O)O)NCC1(C)C
6174,0.669,0.503,5.554,CNC(CO)CCC1CC(C(=O)O)=CCN1
6175,0.633,0.683,6.122,CC1CC(=O)N(C#N)C(CCC(=O)O)C1=N
6176,0.633,0.346,5.653,C#CCCC(N)C(NC)C(=N)CC(=O)O
6177,0.611,0.467,4.855,CNC1C(CC(=O)O)=C(C)CC1N=N
6178,0.711,0.674,5.52,CNC(C)(CCC(=O)O)CC(C)C(C)=O
6179,0.732,0.569,5.582,CNC(CCC(=O)O)CC(CO)C(C)C
6181,0.745,0.727,5.508,CC(C)C(C)(C)C1=C(C(=O)O)CCN1
6182,0.654,0.292,7.168,CCC(CN)C(=N)C(O)(CCC(=O)O)NC
6183,0.755,0.563,5.662,CCC(CC(CCC(=O)O)NC)C(=O)O
6188,0.647,0.63,4.982,C#CCC1CC(NC)CC1C(=O)O
6189,0.65,0.695,5.651,CCC(C)C1OC(O)CCC1NC
6191,0.725,0.617,5.823,C=C(C)C(C)CC(CCC(=O)O)NC
6192,0.599,0.656,5.053,C=C1C(C(=O)O)C=NC1C(O)CCC
6193,0.747,0.662,5.826,CNC(CCC(=O)OC)CC(C)C(C)C
6194,0.695,0.597,5.815,CNC(CC(O)C(=O)O)CC(C)C(C)C
6198,0.719,0.639,6.787,CCCC(C)C(C)CC(CCC(=O)O)NC
6199,0.627,0.528,5.37,CCN(N)C1(CCC(=O)O)CCC(C)O1
6200,0.676,0.444,6.596,CC(C)C(C)C(O)C(CCC(=O)O)N(C)N
6201,0.714,0.673,4.498,CC1=CNC(CCC(=O)O)CC1
6202,0.65,0.514,6.429,CCC(CCC(C)(C=CC(=O)O)NC)=NC
6203,0.669,0.729,5.085,CNC1(C)C(C)CCCC1CC(=O)O
6204,0.535,0.607,5.156,CCNC12CC(C(=O)O)=C(C1)C(O)C2
6205,0.6,0.561,5.631,CC1C=CNC(CC(=N)C(=O)O)C1=O
6206,0.749,0.667,4.487,CN1CCCC(O)C1CCC(=O)O
6207,0.748,0.597,4.888,CN1CCCC1C=CC(=O)O
6208,0.708,0.666,5.404,CC(CCC(=O)O)N(C=O)C(C)(C)C#N
6209,0.73,0.654,5.481,CCC(C)CC(C)C(CCC(=O)O)NC
6210,0.722,0.576,5.203,CCCCC1NC(O)=C(C(=O)O)C1=O
6211,0.833,0.696,5.109,CN1CCCCC1CCC(=O)O
6212,0.687,0.681,5.37,CCC1CCC(N(C)O)CC1C(=O)O
6213,0.681,0.645,5.809,CCCCC1OC(=O)CC(N)C1NC
6215,0.545,0.611,5.336,CNC1CC2OC(=O)C(C)C1C2C
6216,0.657,0.609,5.195,CNC1CCC(CN)C1C(C)C(=O)O
6217,0.771,0.631,4.786,CNC(C)CC(C)CC(=O)O
6218,0.814,0.662,5.363,CCCCC(CCC(=O)O)N(C)C
6219,0.649,0.565,5.67,C#CC(O)C(C)C=C(CCC(=O)O)NCC
6220,0.71,0.751,5.814,CCC1CC(CC(=O)O)C(N(C)C)C1
6221,0.718,0.754,5.281,CC1CC(CCC(=O)O)N(C)CC1C
6222,0.766,0.679,4.729,C#CCc1c[nH]c(CCC(=O)O)c1
6223,0.596,0.649,5.012,CC1=C(CC(=O)O)C2CC1CN2C
6224,0.706,0.61,6.806,C=C(C(CCC(=O)O)NCC)C(C)C(C)CC
6225,0.67,0.609,4.584,CNC1CCC(=N)CC1CC(=O)O
6226,0.753,0.618,5.342,CNC(CCC(=O)O)C(O)C1CCCC1
6227,0.633,0.562,4.561,O=C(O)C1=CNC2C=CCC=C12
6228,0.666,0.725,5.704,CCC(C(=O)O)C1C(C)CCC1NC
6229,0.743,0.528,5.013,CNC1CCCC=C1CC(=O)OC
6230,0.657,0.661,4.507,CNC1CC(C(C)=O)OC(C(=O)O)C1
6231,0.704,0.469,4.54,CCC=CC(NC)C(=O)CC(=O)O
6232,0.723,0.588,4.887,CCCC(C)(CCC(=O)O)NC=O
6233,0.652,0.588,5.933,CNC(CCC(=O)O)C(=N)C1CCC=NC1
6234,0.689,0.406,5.788,C#CN(O)C(CCC(=O)O)=C(C)CCC#N
6235,0.725,0.654,5.491,CCCC(C)CC(C)(CCC(=O)O)NC
6236,0.638,0.748,6.489,CCC(C)C(C)C1OC(=O)CC(C)C1NC
6238,0.646,0.535,6.377,C#CC(CCC)C(CC(N)C(=O)O)NC
6239,0.542,0.145,6.287,CC1CCC(O)(NC=N)C1(O)CC(=O)OO
6240,0.783,0.696,4.343,CN1CCCC(=O)C1CCC(=O)O
6241,0.685,0.714,5.648,CCCC1CC(C(N)CC(=O)O)N(C)C1
6242,0.679,0.694,5.366,CCC1CC(C(N)CC(=O)O)N(C)C1
6243,0.672,0.698,5.66,CNC1C=C(C(=O)O)N=C(C(C)C)C1=O
6244,0.716,0.752,5.054,CC(C)C1CCN(O)C(CCC(=O)O)C1
6245,0.695,0.781,6.018,CC1CC(CCC(=O)O)N(C)CC1(C)C
6246,0.805,0.654,6.107,CC(C)CCC(CCC(=O)O)NC(C)C
6247,0.724,0.684,5.568,CCCCC(=O)C1CCC(=O)ON1C
6248,0.745,0.631,4.458,CCC(CC(=O)O)C(C)NC
6249,0.788,0.619,5.638,CCC(=O)CC(CCC(=O)O)NC
6250,0.678,0.779,6.329,CCN1C(CC(C)C(=O)O)CCC1(C)C
6251,0.664,0.589,5.217,CC(=O)CC(=N)C1=CNC(CCC(=O)O)C1
6252,0.644,0.499,5.711,C#CC1(O)CCC(C(=O)CC(=O)O)N(C)C1
6253,0.718,0.686,5.661,CNC(C)(CCC(=O)O)CC(C)C(C)C
6254,0.816,0.688,5.612,CNC(CCC(=O)O)CC1CCCC1
6255,0.694,0.727,4.986,CNC1CC(C)CC(C)C1CC(=O)O
6257,0.706,0.59,4.647,CNC1CC(O)CCC1CC(=O)O
6258,0.759,0.667,4.488,CN1CC(O)CCC1CCC(=O)O
6259,0.68,0.632,5.716,C#CC(C)(CC(=O)O)C(CCCC)NC
6260,0.692,0.67,4.402,CCC1=CNC(CCC(=O)O)C1
6261,0.797,0.678,4.659,O=C(O)CCC1CCCCN1CO
6263,0.714,0.719,4.835,CC(C)CC1=CNC(CCC(=O)O)C1=O
6264,0.587,0.586,5.15,CC1C(=N)N2OC(O)CCC2CC1=O
6265,0.663,0.635,4.774,CN1C2CCCC1C(C(=O)O)C2
6266,0.735,0.622,5.506,CCCCC(C)(CCC(=O)O)N(C)O
6267,0.605,0.543,5.279,C#CC1CC=C(CC(=O)O)C(C)(NC)C1
6268,0.743,0.661,5.739,CC=C(CCC)C(CCC(=O)O)N(C)C
6269,0.627,0.42,4.977,CC(O)C1=CN(N)C(C(=O)CC(=O)O)C1
6270,0.706,0.731,5.75,CC(=O)CCC1CC(C(=O)O)=CN1C
6271,0.785,0.697,5.844,CC(C)CC(=O)C(CCC(=O)O)N(C)C
6272,0.801,0.686,5.79,CC(C)CCC(CCC(=O)O)N(C)C
6274,0.748,0.639,5.764,CNC(C)CCC(CCC(=O)O)N(C)C
6275,0.703,0.668,5.771,C=CN1C(CCC(=O)OC)CCC1(C)C
6276,0.73,0.639,6.464,CCNC(CCC(=O)O)CC(C)C(C)CC
6277,0.737,0.662,4.818,CCC(CC=C(C)NC)CCC(=O)O
6278,0.696,0.597,4.778,CCC1CC(CCC=O)N(C)C1
6279,0.666,0.723,5.328,CCC1C(=O)C(N(C)C)CC1C(=O)O
6280,0.713,0.728,5.77,CNC1(CCC(=O)O)CCCCC1C
6281,0.631,0.661,5.611,CCC1C=CC(CCC(=O)O)(NC)C1
6284,0.726,0.654,5.499,CCNC(C)(CCC(=O)O)CC(C)CC
6285,0.679,0.314,5.269,CCCCC(CCC(O)O)N(C)C=N
6286,0.608,0.654,5.21,C#CC1=NNC(CCC(=O)O)CC1C
6287,0.616,0.665,4.703,C=NC(=CC)C=C1CC(C(=O)O)=CN1
6288,0.797,0.655,5.201,CCCCC(CCC(=O)O)N(C)CC
6289,0.652,0.684,5.489,C=C1CC(C)C(C(=O)O)CC1N(C)C
6291,0.763,0.639,4.666,CCCCC(NC)C(C)CC(=O)O
6292,0.766,0.465,5.551,CCCCC(CCC(=O)O)N(C)N
6294,0.653,0.495,4.65,C#CCCC1NCC=C1CC(=O)O
6295,0.72,0.641,5.212,CC=NC(CCC(=O)O)CCC(C)C
6297,0.614,0.614,4.942,CNC1CCC=C=C1CC(=O)O
6298,0.634,0.706,6.093,CCCC1=NC(C(=O)O)C(C)C1NC
6299,0.523,0.705,5.659,CC(C)C1(C)CC2CC(C(=O)O)C1N2
6300,0.679,0.716,5.016,CCN1NC(C)CCC1CCC(=O)O
6301,0.547,0.648,4.758,CCC1CC2CC(C(=O)O)=C1N2
6303,0.646,0.639,5.351,COC(=O)C1=CNC2CC(C)CC=C12
6304,0.677,0.648,4.336,C=C(CC1CC(CC)CN1)C(=O)O
6305,0.624,0.644,4.972,CCCCC1(NC)OOC(=O)CC1O
6306,0.732,0.623,4.979,CNC1CCCC=C1CC(=O)O
6307,0.624,0.502,4.608,C#CCC(NC)C(=C=C=C)CC(=O)O
6308,0.539,0.642,5.034,O=C(O)CCC12C=CC(CCN1)C2
6309,0.648,0.58,4.78,CNC1(C)CCCC=C1C(O)C(=O)O
6310,0.591,0.728,5.295,CC1CC2CN(C)C(C1)C2CC(=O)O
6311,0.779,0.569,5.796,C=CCCC(CCC(=O)O)NC
6312,0.547,0.528,5.64,CN1CC2CC1C(CC(=O)O)C2COO
6314,0.776,0.589,5.704,C=C(CCCC)C(CCC(=O)O)NC
6315,0.503,0.502,4.756,CCCC(=N)C12CC(=CN1)C(=O)O2
6316,0.702,0.7,4.907,CC1CCNC(CCC(=O)O)C1C
6317,0.751,0.548,5.739,CCCCC(CN)(CCC(=O)O)NC
6318,0.662,0.754,5.022,CCC1CC(C)(N(C)C)CC1C(=O)O
6319,0.69,0.691,6.061,CCC1CCC(N(C)CO)CC1C(=O)O
6320,0.711,0.663,5.155,CCC(C)CC(NC)C(C)CC(=O)O
6321,0.636,0.568,5.741,C=C(C)CCC(C)C(C)(NC)C(O)CC(=O)O
6323,0.694,0.697,5.496,CC(CC1CCC(N)CN1C)C(=O)O
6325,0.626,0.367,5.408,C=CNC(CC(N)C(=O)O)C(O)CC(C)O
6327,0.686,0.648,6.04,CC(=O)CC(CC(C)C(=O)ON)N(C)C
6328,0.619,0.358,5.546,CNC1CC(C)C(COC=N)=C1CC(=O)O
6329,0.796,0.369,6.213,CCCCCC(=CC(=O)C(=O)O)NC
6330,0.699,0.726,5.177,CCC1CNC(CCC(=O)O)CC1C
6331,0.675,0.729,5.408,CCC1(C)CCC(NC)CC1C(=O)O
6332,0.778,0.641,5.838,CCCCC(C)(CCC(=O)O)NC
6333,0.695,0.653,4.415,CNC1(C)CCCC=C1CC(=O)O
6334,0.729,0.607,5.711,CCCCC(C)(CCC(=O)O)N(C)CO
6335,0.744,0.594,5.749,CCC=CC(CCC(=O)O)NC
6336,0.764,0.687,5.816,CCCCC(C)(CCC(=O)O)N(C)C
6337,0.797,0.645,5.959,CC(=O)CCC(CCC(=O)O)NC(C)C
6338,0.541,0.611,4.793,CC12CCC(CN1)C(C(=O)O)C2
6339,0.646,0.756,5.034,CCNC1(C)CCC(C)C(C)(C(=O)O)C1
6341,0.761,0.686,5.811,CCC(C)CC(CCC(=O)O)N(C)C
6342,0.654,0.71,4.841,CCCC1=CNC(C(C)CC(=O)O)C1
6344,0.649,0.614,4.705,CCCC1=CNC(C(O)CC(=O)O)C1
6346,0.671,0.685,5.237,CNC1(C)CCC(C)C(C(=O)O)C1
6347,0.731,0.728,5.217,CNC1(CCC(=O)O)CCCC(C)C1
6348,0.721,0.71,5.612,CNC(CCC(=O)O)C1CCCC1C
6349,0.737,0.726,5.311,CCNC1CCC(CC)C(C(=O)O)C1
6350,0.531,0.618,5.83,CC1(C)C2=CC(CC1C(=O)O)N(O)C2
6351,0.65,0.5,6.111,CCC(CC(=O)O)CC(C)C(C)NC#N
6352,0.75,0.627,5.843,CC(C)CCC(CCC(=O)O)N(C)C=O
6353,0.701,0.635,5.96,CCC(C)CC(O)(CCC(=O)O)N(C)C
6354,0.517,0.539,5.702,CNC1CC2=C(C(=O)O)C1CC2ON
6355,0.738,0.635,5.905,CC(C)CCC(O)(CCC(=O)O)N(C)C
6356,0.733,0.754,5.325,CCC1CCC(N(C)C)CC1C(=O)O
6357,0.716,0.644,4.789,CC1=CN(N)C(CCC(=O)O)CC1
6358,0.835,0.639,4.845,CC(C)CNC(C)CCC(=O)O
6360,0.613,0.227,4.921,N=CNC1(N)CCCC=C1CC(=O)O
6362,0.758,0.728,4.512,CN1CCCCC1(C)CCC(=O)O
6364,0.792,0.663,4.822,CCC(CCC(=O)O)N(C)CC
6365,0.671,0.612,4.715,CC1=CNC(CCC(=O)O)CC1=N
6367,0.705,0.692,5.588,CC(=O)CCC1CC(C)C(C)CN1C
6368,0.75,0.618,5.749,CCCC(C)=CC(CCC(=O)O)NC
6371,0.757,0.659,4.496,CN(C)C1CCCCC1=CC(=O)O
6372,0.732,0.615,4.926,CCCC(=CC(=O)O)C(C)NC
6373,0.699,0.696,5.542,CC1C(=O)CC(CCC(=O)O)N1C
6374,0.762,0.589,5.771,C=C(CCC)CC(CCC(=O)O)NC
6376,0.731,0.426,4.907,CC(CCC(=O)O)NCC(C)C(N)N
6377,0.764,0.686,5.962,CCCCC(CC(C)C(=O)O)N(C)C
6379,0.674,0.728,5.443,CC1CC(CCC(=O)O)N(O)CC1C
6380,0.747,0.524,5.025,CCCCC(NC)C(=N)CC(=O)O
6381,0.566,0.67,4.659,O=C(O)CCC12CCC(C1)C(=O)N2
6385,0.797,0.579,4.575,CCCCC(NC)C(=O)CC(=O)O
6386,0.736,0.686,4.494,CN1CCCC(=N)C1CCC(=O)O
6387,0.755,0.546,4.57,CNC(CCC(=O)O)CCC(C)N
6390,0.686,0.681,4.831,CN1C(CCC(=O)O)CCC1(C)O
6391,0.691,0.702,5.229,CN1CCCCC1(C)C(N)CC(=O)O
6394,0.758,0.676,5.84,CCC(C)CCC(CCC(=O)O)N(C)C
6395,0.64,0.586,5.706,CCC1CC(NC)C(CC(=O)O)N1
6396,0.76,0.639,6.033,CCCC(CC(C)C(=O)O)NC
6397,0.654,0.616,5.166,CNC1CCC(C=O)OC1CC(=O)O
6398,0.652,0.664,4.802,CNC1=CC(C(=O)O)C(C(C)=O)C1
6400,0.738,0.407,6.207,CCCCC(CCC(=O)O)N(O)CO
6402,0.759,0.725,4.41,CC1CCCN(C)C1CCC(=O)O
6404,0.669,0.665,5.42,CC1CCN2C=C(C(=O)O)CC2C1
6405,0.732,0.7,4.971,CCC1CCC(NC)CC1C(=O)O
6406,0.685,0.682,5.129,CNC1CC(C)C(C)C(C(=O)O)C1
6407,0.724,0.564,6.844,CCCCC(C)C(O)C(CCC(=O)O)NC
6408,0.664,0.714,5.73,CC1C(C(=O)O)CC(NCC#N)CC1(C)C
6409,0.701,0.654,5.485,CCC(C)CC(NC)C(CC)CC(=O)O
6410,0.679,0.727,5.565,CCC1CC(NC)CC(C(=O)O)C1C
6412,0.748,0.715,5.034,CCCCC1=C(C(=O)O)C(=O)C(=NC)C1
6413,0.675,0.561,4.604,CNC1CCC(=O)OC1C(C)O
6416,0.663,0.42,4.669,CNC1CCC(=O)OC1CC(C)(O)O
6417,0.536,0.504,4.946,CNC1CC2=CC(O)C1OC2=O
6418,0.816,0.633,5.252,CCNC(CCC(=O)O)CCC(C)C
6420,0.753,0.663,5.531,CC(CCC(=O)O)CC(CN)C(C)C
6421,0.789,0.566,4.43,CNC(CCC(=O)O)C(=O)CC(C)=O
6422,0.77,0.547,4.886,CNC(CCC=O)CCC(=O)O
6423,0.704,0.593,5.381,CCC1=C(N)C(CCC(=O)O)NC1
6424,0.674,0.687,4.868,CCC1CCC(C)(N)CC1C(=O)O
6426,0.661,0.62,5.426,CCC1CCC(N)(CN)CC1C(=O)O
6427,0.546,0.725,5.502,CC1NC2(CCC(=O)O)CCCC1C2
6428,0.683,0.689,5.344,O=C(O)CCC1NC=C2CCC=C21
6429,0.727,0.751,5.509,CC(C)C1CC(CCC(=O)O)N(C)C1
