a,b,c,d,SMILES
2000,0.729,0.241,9.215,C=Cc1ccc(O)c(C(CN(C)c2nc(N)n3nc(-c4ccc(C)o4)nc3n2)=NN)c1
2002,0.78,0.457,7.62,Cc1cccc(CCN(C)c2nc(NCC=O)n3nc(-c4ccco4)nc3n2)c1
2003,0.72,0.396,7.532,C=Cc1cc(N=N)cc(CCN(C)c2nc(N)n3nc(-c4ccco4)nc3n2)c1O
2004,0.57,0.534,7.589,C=Cc1cc2ccc1C(N(C)c1nc(N=N)n3nc(-c4ccco4)nc3n1)C2
2005,0.587,0.578,8.525,Cc1c2cccc1C1C=C2CN(c2nc(N)n3nc(-c4ccco4)nc3n2)C1
2006,0.629,0.56,8.069,CN(CC1=C=Cc2cccc1c2)c1nc(N)n2nc(-c3ccco3)nc2n1
2007,0.764,0.442,7.609,C=Cc1cccc(CCN(C)c2nc(NCO)n3nc(-c4ccco4)nc3n2)c1
2008,0.492,0.596,8.401,C=CC1=C2C=CC(=C1)C2C(C)N(C=O)c1nc(N)n2nc(-c3ccc(N)o3)nc2n1
2009,0.563,0.558,8.146,CN(CC(=N)C1=CC2=CC=C1C2N)c1nc(N)n2nc(-c3ccco3)nc2n1
2010,0.746,0.411,7.721,C#CN(CCc1cccc(C=C)c1)c1nc(N)n2nc(-c3ccco3)nc2n1
2011,0.72,0.441,8.11,Cc1ccc(CO)cc1CC(=O)N(C)c1nc(N=O)n2nc(-c3occc3O)nc2n1
2012,0.742,0.376,7.999,C=Cc1cccc(CCN(C=N)c2nc(N)n3nc(-c4ccco4)nc3n2)c1
2015,0.786,0.582,9.074,Cc1cccc(CCN(C)c2nc(N)n3nc(-c4occc4C)nc3n2)c1
2016,0.738,0.358,7.497,C=C=C(O)N(CCc1cccc(C=C)c1)c1nc(N)n2nc(-c3ccco3)nc2n1
2018,0.759,0.554,8.266,C=Cc1cccc(C(=C)CN(C)c2nc(N)n3nc(-c4ccco4)nc3n2)c1
2020,0.722,0.235,7.594,C#CC(=O)c1cccc(CCN(C)c2nc(N)n3nc(-c4occ(N)c4O)nc3n2)c1
2021,0.597,0.598,8.204,C=Cc1cc2cc(c1)C(N(C)c1nc(N)n3nc(-c4ccco4)nc3n1)C2
2022,0.776,0.384,8.759,Cc1cc(N)cc(C(=O)CN(C)c2nc(N)n3nc(-c4ccco4)nc3n2)c1C
2023,0.76,0.585,7.962,CCc1cccc(C2CCN(c3nc(N)n4nc(-c5ccco5)nc4n3)C2)c1
2024,0.666,0.297,8.707,C#CCc1cccc(CC(O)N(CN)c2nc(N)n3nc(-c4ccco4)nc3n2)c1C
2025,0.67,0.233,7.321,CN(c1nc(N=O)n2nc(-c3ccco3)nc2n1)C(N)C(=N)c1cccc(CO)c1
2026,0.541,0.39,8.246,C=C1C2=CC=C(C2)C1CCN(C)c1nc(N=NN)n2nc(-c3ccco3)nc2n1
2027,0.669,0.558,8.581,C=Cc1cccc(CC2=Nc3nc(nc4nc(-c5ccco5)nn34)N2C)c1
2029,0.806,0.582,7.431,Cc1ccc(CCN(C)c2nc(N)n3nc(-c4ccco4)nc3n2)cc1C
2030,0.731,0.319,8.316,C=C(O)c1cccc(C#CN(C)c2nc(N)n3nc(-c4ccco4)nc3n2)c1
2032,0.541,0.591,8.042,Cc1c2cc3cc1C(C=C2)C3N(C)c1nc(N)n2nc(-c3ccco3)nc2n1
2033,0.771,0.526,7.039,C=Cc1cc(CCN(C)c2nc(N)n3nc(-c4ccco4)nc3n2)ccc1O
2034,0.641,0.53,7.549,CC1=Nc2nc(nc3nc(-c4ccco4)nn23)N1CCc1cccc(C=C=N)c1
2035,0.634,0.609,7.974,Cc1cccc(CC2Nc3nc(nc4nc(-c5ccco5)nn34)N2C)c1
2036,0.773,0.47,7.742,C=Cc1cccc(CCN(CO)c2nc(N)n3nc(-c4ccco4)nc3n2)c1
2037,0.756,0.395,8.078,Cc1cccc(C(=O)CN(C)c2nc(N=N)n3nc(-c4ccco4)nc3n2)c1C
2038,0.743,0.512,8.819,C=Cc1cccc2c1CN(c1nc(N=C)n3nc(-c4ccco4)nc3n1)CC2
2039,0.77,0.489,9.329,CC=Cc1cc(C)cc(C(=O)CN(C)c2nc(N)n3nc(-c4ccco4)nc3n2)c1
2040,0.608,0.565,8.048,C=C1c2cccc(c2)C(=N)C1N(C)c1nc(N)n2nc(-c3ccco3)nc2n1
2041,0.771,0.468,8.498,CNc1nc(NCCc2cccc(C)c2)nc2nc(-c3occ(C)c3N)nn12
2042,0.753,0.36,8.434,Cc1cccc(C(=N)CN(O)c2nc(N)n3nc(-c4ccco4)nc3n2)c1
2043,0.639,0.224,7.371,CN(c1nc(N)n2nc(-c3ccco3)nc2n1)C(N=NO)C(O)c1cccc(C=O)c1
2044,0.636,0.501,7.767,Cc1cccc(CC(=CNO)N2C=Nc3nc2nc2nc(-c4ccco4)nn32)c1
2045,0.777,0.531,7.61,C=Cc1cccc(CCN(C)c2nc(NC)n3nc(-c4ccco4)nc3n2)c1
2046,0.783,0.511,8.189,C=Cc1cccc(C(=O)CN(C)c2nc(N)n3nc(-c4ccco4)nc3n2)c1
2047,0.672,0.479,8.006,CN(CCc1cc2ccc1cc2)c1ncn2nc(-c3ccco3)nc2n1
2048,0.771,0.5,7.753,C=Cc1cc(C)cc(C(=O)CN(C)c2nc(N)n3nc(-c4ccco4)nc3n2)c1
2049,0.593,0.557,8.09,C=C1CC(C(=C)N(C)c2nc(N)n3nc(-c4ccco4)nc3n2)c2cccc1c2C
2050,0.75,0.557,8.901,C=Cc1cccc(CC(=O)N(C)c2nc(N)n3nc(-c4cc(C)co4)nc3n2)c1
2051,0.594,0.542,9.493,Cc1cccc(C2=NC(=N)CN3c4nc(n5nc(-c6ccco6)nc5n4)NC23)c1
2052,0.597,0.544,7.481,C=C1c2cccc(c2)CC1N(C=O)c1nc(N)n2nc(-c3ccco3)nc2n1
2053,0.731,0.462,7.635,CN(CCc1cc2c(c(ON)c1)CC=C2)c1nc(N)n2nc(-c3ccco3)nc2n1
2056,0.7,0.252,7.345,C=Cc1cccc(CCN(CC)c2nc(N=NN)n3nc(-c4cc(N)co4)nc3n2)c1
2057,0.566,0.444,9.215,C=Cc1cc2c(N)c(c1)C(N(C)c1nc(N)n3nc(-c4occc4N)nc3n1)C2
2058,0.577,0.537,7.577,C=C(C)N(CCC1=CC2=CC(C)=C1C2)c1nc(N=O)n2nc(-c3ccco3)nc2n1
2059,0.742,0.517,8.714,C=Cc1cccc(CCN(CC)c2ncn3nc(-c4occ(C)c4N)nc3n2)c1
2060,0.719,0.331,7.822,C=Cc1cccc(C#CN(C=O)c2nc(N)n3nc(-c4ccco4)nc3n2)c1
2061,0.771,0.413,7.546,C=Cc1ccc2c(c1)CCN(c1nc(NN)n3nc(-c4ccco4)nc3n1)C2
2063,0.577,0.342,8.164,NCN(CC1=C=Cc2cccc1c2)c1nc(N)n2nc(-c3cc(O)co3)nc2n1
2064,0.726,0.339,9.04,C#Cc1cc(N)cc(CCN(C)c2nc(N)n3nc(-c4cc(O)co4)nc3n2)c1
2065,0.525,0.478,7.53,CN(c1nc(N)n2nc(-c3ccco3)nc2n1)C1Nc2c3cccc2C1(N)C3
2066,0.542,0.672,7.681,CN(CCC1CC2=CC=C1C2)c1nc(N=N)n2nc(-c3ccco3)nc2n1
2067,0.501,0.662,9.055,CC(=N)C1=C2C=C3CN(c4nc(N)n5nc(-c6cc(C)co6)nc5n4)CC2C3=C1
2069,0.701,0.466,7.875,C=Nc1nc(N(C)C(C)Cc2cc(C)cc(C)c2)nc2nc(-c3ccco3)nn12
2070,0.611,0.229,8.116,CN(CC(=N)c1cc2cc(c1)C=C2)c1nc(NN)n2nc(-c3ccco3)nc2n1
2071,0.646,0.6,8.049,C=Cc1cccc(C=CN2CNc3nc2nc2nc(-c4ccco4)nn32)c1
2072,0.748,0.496,7.762,CN(CCc1cccc(C=C=N)c1)c1nc(N)n2nc(-c3ccco3)nc2n1
2074,0.787,0.571,7.508,Cc1ccc(-c2nc3nc(N4CCc5cccc(C)c5C4=O)nc(N)n3n2)o1
2075,0.692,0.538,8.19,C=CN(c1nc(N)n2nc(-c3occc3C)nc2n1)C(C)Cc1cccc(C)c1
2077,0.708,0.493,7.498,Cc1cccc(C(O)CN(C)c2nc(N=N)n3nc(-c4ccco4)nc3n2)c1
2078,0.738,0.444,8.809,C=C(N)c1cccc(CCN(C)c2nc(N)n3nc(-c4cc(N)co4)nc3n2)c1
2080,0.619,0.607,8.516,Cc1cc2cc(c1)C(N(C)c1nc(N)n3nc(-c4ccco4)nc3n1)C2
2081,0.758,0.519,8.281,C=C=Cc1cccc(CCN(C)c2nc(N)n3nc(-c4ccco4)nc3n2)c1
2084,0.767,0.485,8.321,C=Cc1cc(Cc2cccn2-c2nc(N)n3nc(-c4ccco4)nc3n2)ccc1C
2085,0.782,0.55,9.021,Cc1cccc(CCN(C)c2nc(N)n3nc(-c4ccc(N)o4)nc3n2)c1
2086,0.694,0.369,7.87,Cc1ccoc1-c1nc2nc(N(C)C(O)Cc3cccc(C=O)c3)nc(N)n2n1
2091,0.536,0.584,7.812,C=Cc1cc2ccc1OC2CN1CNc2nc1nc1nc(-c3ccco3)nn21
2092,0.698,0.159,7.5,C=Cc1cccc(CC(=NN)N(C)c2nc(N=NN)n3nc(-c4ccco4)nc3n2)c1
2094,0.743,0.392,7.627,C#Cc1ccc(-c2nc3nc(N(C)CCc4cccc(C)c4N)nc(N)n3n2)o1
2098,0.744,0.525,7.923,C=Cc1cccc(CCN(C)c2nc(N)n3nc(-c4cc(N)co4)nc3n2)c1
2099,0.675,0.505,8.436,CN(CCc1cc2ccc1cc2)c1nc(N)n2nc(-c3ccco3)nc2n1
2100,0.719,0.589,7.903,C=C1CC(c2cccc(C)c2)CN1c1nc(N)n2nc(-c3ccco3)nc2n1
2102,0.773,0.553,8.407,C=Cc1cccc(CCN(C)c2nc(N)n3nc(-c4ccco4)nc3n2)c1C
2104,0.603,0.533,8.586,Cc1cc2c(C)c(c1)C(CN(C)c1nc(N)n3nc(-c4ccco4)nc3n1)C=C2O
2105,0.775,0.526,8.223,C=Cc1ccc(O)c(CCN(C)c2nc(N)n3nc(-c4ccco4)nc3n2)c1
2106,0.715,0.455,8.269,C=Cc1cccc(CCN(C=O)c2nc(N)n3nc(-c4cc(N)co4)nc3n2)c1
2113,0.78,0.6,9.332,C=Cc1cccc2c1CN(c1nc(N)n3nc(-c4ccco4)nc3n1)CC2
2115,0.724,0.414,7.157,C=Cc1cc(C#CN(C)c2nc(N)n3nc(-c4ccco4)nc3n2)ccc1O
2117,0.765,0.56,8.307,C=Cc1cc2c(cc1O)CN(c1nc(N)n3nc(-c4ccco4)nc3n1)CC2
2123,0.605,0.524,7.383,CN(c1nc(N)n2nc(-c3ccco3)nc2n1)C1Cc2cccc(c2)C1=CO
2124,0.754,0.497,8.592,C=Cc1cccc(C(=N)CN(C)c2nc(N)n3nc(-c4ccco4)nc3n2)c1
2128,0.629,0.404,8.675,Cc1cc2cc(CCN(C)c3nc(N=N)n4nc(-c5ccco5)nc4n3)c1c(N)n2
2129,0.779,0.492,8.251,C=C(O)c1cccc(CCN(C)c2nc(N)n3nc(-c4ccco4)nc3n2)c1
2132,0.774,0.482,7.86,CC=C(O)c1cccc(CCN(C)c2nc(N)n3nc(-c4ccco4)nc3n2)c1
