a,b,c,d,SMILES
-1,0.825,0.502,7.469,Nc1nc(NCCc2ccc(O)cc2)nc2nc(-c3ccco3)nn12
0,0.612,0.303,7.221,Nc1cc(C(O)CN2Nc3nc2nc2nc(-c4ccco4)nn32)ccc1O
1,0.712,0.254,6.539,CN(c1nc(N)n2nc(-c3ccco3)nc2n1)C(Cc1ccc(O)cc1)OO
2,0.761,0.457,8.378,COc1ccc(C(O)CNc2nc(N)n3nc(-c4ccco4)nc3n2)cc1C
3,0.792,0.525,8.106,COc1ccc(CCNc2nc(N)n3nc(-c4cc(C)co4)nc3n2)cc1C
4,0.76,0.27,7.233,Nc1nc(NCCc2ccc(OO)cc2OO)nc2nc(-c3ccco3)nn12
5,0.803,0.418,7.456,Nc1nc(NCCc2ccc(O)cc2O)nc2nc(-c3ccco3)nn12
6,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
7,0.743,0.289,7.909,CCc1ccc(OO)c(Nc2nc(N)n3nc(-c4cc(NC)co4)nc3n2)c1
8,0.706,0.256,6.966,NOc1oc(-c2nc3nc(NC=Cc4ccc(O)cc4)nc(NO)n3n2)cc1O
9,0.796,0.349,8.355,CCOOc1ccc(CCNc2nc(N)n3nc(-c4ccco4)nc3n2)cc1
10,0.751,0.281,7.756,Cc1cc(OO)ccc1CCNc1nc(N=O)n2nc(-c3ccco3)nc2n1
11,0.709,0.231,7.37,Cc1c(O)ccc(C#CN(C)c2nc(NO)n3nc(-c4ccco4)nc3n2)c1O
12,0.806,0.525,7.868,COc1ccc(CCNc2nc(N)n3nc(-c4ccco4)nc3n2)c(C)c1C
13,0.783,0.389,7.748,Cc1cc(CN)c(-c2nc3nc(NCCc4ccc(O)cc4)nc(N)n3n2)o1
14,0.688,0.291,8.016,Nc1nc(NCC(=O)c2ccc3c(c2)C#COO3)nc2nc(-c3ccco3)nn12
15,0.697,0.365,7.975,Cc1cc(OO)cc(C)c1CC(C)N(C)c1nc(N)n2nc(-c3ccco3)nc2n1
